payment_id,case_id,pay_month,amount,method,adjustment
P-115616,C-32649,2025-09,549.96,Transfer,N
P-120956,C-33558,2025-08,1057.14,Transfer,Y
P-102332,C-30394,2025-11,958.35,Card,N
P-108575,C-31451,2025-11,450.46,Card,N
P-106534,C-31107,2025-10,1390.34,Transfer,N
P-122580,C-33833,2025-09,794.31,Transfer,Y
P-116613,C-32817,2025-09,958.2,Transfer,N
P-100028,C-30004,2025-11,542.71,Transfer,N
P-116240,C-32753,2025-09,605.83,Transfer,N
P-102011,C-30341,2025-08,781.88,Transfer,N
P-103941,C-30667,2025-07,657.74,Transfer,N
P-123070,C-33915,2025-09,764.99,Transfer,N
P-103874,C-30655,2025-12,708.73,Card,N
P-116901,C-32866,2025-10,1159.88,Transfer,Y
P-115015,C-32548,2025-07,669.84,Transfer,N
P-106271,C-31063,2025-11,518.78,Transfer,N
P-116218,C-32749,2025-11,539.68,Transfer,N
P-111177,C-31891,2025-08,428.37,Transfer,N
P-103753,C-30635,2025-08,773.41,Transfer,Y
P-107741,C-31311,2025-07,989.22,Card,N
P-121764,C-33695,2025-12,420.95,Transfer,Y
P-124308,C-34124,2025-12,513.59,Card,Y
P-114366,C-32437,2025-08,740.01,Transfer,N
P-114997,C-32544,2025-10,1425.4,Card,N
P-113301,C-32256,2025-11,359.61,Transfer,N
P-104832,C-30819,2025-11,939.31,Transfer,N
P-113076,C-32219,2025-07,791.9,Card,Y
P-111984,C-32031,2025-10,585.52,Transfer,N
P-105567,C-30943,2025-07,884.23,Card,N
P-113662,C-32317,2025-11,585.91,Transfer,N
P-103125,C-30529,2025-07,740.89,Transfer,N
P-102821,C-30478,2025-09,1139.22,Card,N
P-104093,C-30693,2025-07,1289.39,Transfer,N
P-114110,C-32393,2025-11,773.39,Transfer,N
P-120905,C-33549,2025-11,744.41,Transfer,Y
P-106413,C-31087,2025-09,898.78,Card,N
P-122927,C-33891,2025-08,1410.98,Transfer,N
P-108775,C-31485,2025-09,1248.37,Transfer,Y
P-120715,C-33517,2025-10,787.33,Transfer,N
P-122604,C-33837,2025-09,743.64,Transfer,N
P-105883,C-30998,2025-09,892.53,Transfer,N
P-105882,C-30998,2025-08,963.14,Transfer,N
P-117160,C-32910,2025-10,712.35,Card,N
P-120561,C-33490,2025-09,1142.07,Transfer,N
P-113947,C-32366,2025-10,1110.9,Transfer,Y
P-115528,C-32634,2025-09,390.82,Card,N
P-101443,C-30244,2025-08,747.43,Transfer,N
P-102861,C-30485,2025-07,975.53,Transfer,Y
P-115189,C-32577,2025-10,465.34,Transfer,N
P-106799,C-31152,2025-11,717.98,Transfer,N
P-113334,C-32262,2025-08,599.8,Card,N
P-121052,C-33575,2025-07,609.75,Transfer,N
P-112816,C-32173,2025-11,677.79,Transfer,N
P-117281,C-32931,2025-10,316.63,Transfer,N
P-117656,C-32995,2025-11,1787.11,Card,N
P-114629,C-32482,2025-08,437.44,Card,N
P-112424,C-32105,2025-12,782.14,Transfer,N
P-106234,C-31056,2025-12,738.07,Transfer,N
P-100929,C-30157,2025-09,709.08,Transfer,Y
P-117512,C-32971,2025-09,400.92,Transfer,N
P-110143,C-31716,2025-10,706.81,Transfer,Y
P-111091,C-31876,2025-12,685.21,Transfer,N
P-113908,C-32360,2025-07,1188.15,Transfer,Y
P-123810,C-34040,2025-07,1067.14,Card,N
P-105320,C-30901,2025-12,804.94,Transfer,N
P-113183,C-32237,2025-07,1000.11,Transfer,N
P-110114,C-31711,2025-11,539.17,Transfer,N
P-108501,C-31438,2025-11,1443.47,Card,N
P-116724,C-32836,2025-10,478.83,Transfer,N
P-104246,C-30719,2025-11,699.42,Card,N
P-109591,C-31624,2025-08,938.98,Transfer,N
P-122883,C-33883,2025-12,1003.33,Card,N
P-110432,C-31764,2025-12,761.55,Transfer,Y
P-121819,C-33705,2025-07,1374.74,Transfer,N
P-100441,C-30075,2025-10,1293.4,Card,N
P-109989,C-31690,2025-09,926.44,Transfer,Y
P-107307,C-31238,2025-12,782.96,Card,N
P-118797,C-33192,2025-08,416.23,Transfer,N
P-114981,C-32541,2025-10,740.75,Transfer,Y
P-104156,C-30703,2025-10,787.33,Transfer,N
P-111510,C-31948,2025-12,1102.13,Transfer,N
P-116146,C-32737,2025-11,892.72,Transfer,N
P-111827,C-32004,2025-08,883.44,Transfer,N
P-109699,C-31642,2025-07,546.17,Transfer,N
P-111947,C-32024,2025-11,695.4,Card,N
P-120835,C-33538,2025-07,1156.15,Transfer,N
P-106561,C-31112,2025-07,1019.94,Transfer,N
P-116355,C-32772,2025-10,682.16,Card,Y
P-123618,C-34008,2025-07,599.42,Card,N
P-115563,C-32640,2025-10,626.57,Transfer,N
P-124314,C-34125,2025-12,1180.86,Card,N
P-124744,C-34198,2025-07,809.23,Card,N
P-100512,C-30087,2025-09,934.5,Transfer,Y
P-118077,C-33066,2025-12,571.14,Transfer,Y
P-118331,C-33110,2025-12,589.42,Card,N
P-108477,C-31434,2025-11,829.24,Transfer,N
P-109060,C-31532,2025-12,955.17,Transfer,N
P-102976,C-30504,2025-08,1085.07,Card,N
P-102547,C-30432,2025-09,462.67,Transfer,N
P-114930,C-32533,2025-07,758.14,Transfer,N
P-116330,C-32768,2025-09,1012.72,Transfer,N
P-100698,C-30118,2025-12,924.13,Transfer,Y
P-120551,C-33488,2025-11,1032.33,Transfer,N
P-111121,C-31881,2025-12,928.38,Transfer,N
P-114735,C-32500,2025-10,844.67,Transfer,N
P-102536,C-30430,2025-10,418.56,Transfer,Y
P-116761,C-32842,2025-11,912.13,Card,N
P-109301,C-31574,2025-11,711.04,Transfer,N
P-118204,C-33088,2025-07,506.43,Card,N
P-101495,C-30253,2025-11,892.44,Transfer,N
P-114328,C-32430,2025-12,497.2,Card,N
P-108200,C-31388,2025-08,462.97,Transfer,N
P-116794,C-32848,2025-08,976.68,Transfer,Y
P-107017,C-31189,2025-07,610.71,Transfer,N
P-110354,C-31751,2025-12,1329.33,Transfer,N
P-103479,C-30588,2025-07,425.1,Transfer,N
P-100235,C-30040,2025-07,965.37,Transfer,N
P-118382,C-33120,2025-07,679.03,Card,N
P-110579,C-31790,2025-11,1353.34,Transfer,N
P-104737,C-30803,2025-07,405.01,Transfer,N
P-102223,C-30376,2025-10,1171.09,Card,N
P-102111,C-30357,2025-12,654.66,Transfer,N
P-117135,C-32906,2025-09,867.09,Transfer,N
P-110563,C-31788,2025-07,691.04,Card,N
P-112442,C-32109,2025-07,579.89,Card,N
P-109634,C-31631,2025-08,678.64,Card,N
P-103959,C-30670,2025-07,972.6,Transfer,N
P-114605,C-32478,2025-08,539.65,Transfer,N
P-111647,C-31973,2025-12,1286.41,Card,N
P-122763,C-33863,2025-12,658.25,Card,N
P-114230,C-32414,2025-10,781.05,Transfer,N
P-102394,C-30405,2025-07,958.93,Transfer,N
P-109086,C-31537,2025-09,537.19,Transfer,N
P-101884,C-30319,2025-08,858.06,Transfer,N
P-102458,C-30415,2025-11,1168.18,Card,N
P-108539,C-31445,2025-07,743.16,Transfer,N
P-119480,C-33310,2025-08,987.61,Transfer,N
P-101356,C-30229,2025-10,661.41,Transfer,Y
P-111533,C-31952,2025-11,394.84,Transfer,N
P-111096,C-31877,2025-11,575.56,Transfer,Y
P-117264,C-32928,2025-11,978.99,Transfer,N
P-105220,C-30884,2025-11,438.72,Card,N
P-114935,C-32533,2025-12,806.01,Transfer,N
P-108389,C-31420,2025-07,651.64,Transfer,N
P-116795,C-32848,2025-09,958.18,Transfer,N
P-100310,C-30052,2025-10,477.9,Transfer,N
P-113720,C-32327,2025-10,590.66,Transfer,N
P-107820,C-31324,2025-08,953.08,Transfer,N
P-101620,C-30275,2025-07,721.67,Card,N
P-104007,C-30678,2025-07,1240.94,Transfer,N
P-122158,C-33762,2025-08,904.72,Card,N
P-113384,C-32270,2025-10,593.58,Card,N
P-114866,C-32522,2025-09,988.15,Card,N
P-101917,C-30324,2025-11,974.79,Card,N
P-101500,C-30254,2025-10,935.96,Transfer,N
P-113891,C-32357,2025-08,817.21,Transfer,N
P-106261,C-31062,2025-07,821.1,Card,N
P-109763,C-31652,2025-11,784.97,Transfer,Y
P-111621,C-31968,2025-11,601.36,Transfer,N
P-116430,C-32786,2025-07,390.07,Transfer,N
P-103811,C-30645,2025-09,940.63,Card,N
P-101479,C-30250,2025-11,556.81,Transfer,N
P-123074,C-33916,2025-07,588.2,Transfer,N
P-120359,C-33456,2025-11,857.47,Transfer,N
P-110807,C-31828,2025-12,947.44,Transfer,N
P-103774,C-30639,2025-08,553.05,Transfer,N
P-122375,C-33798,2025-09,882.19,Transfer,Y
P-124630,C-34179,2025-07,422.89,Transfer,Y
P-103439,C-30581,2025-09,982.91,Transfer,N
P-124052,C-34081,2025-11,892.27,Transfer,Y
P-103852,C-30652,2025-08,1184.26,Transfer,N
P-114879,C-32524,2025-10,989.88,Transfer,N
P-114705,C-32495,2025-10,773.61,Card,Y
P-120975,C-33561,2025-09,782.03,Transfer,N
P-123768,C-34033,2025-07,1021.42,Transfer,N
P-120694,C-33514,2025-07,736.14,Transfer,N
P-116676,C-32828,2025-10,1040.15,Card,Y
P-111289,C-31911,2025-07,703.4,Transfer,N
P-103849,C-30651,2025-11,765.43,Transfer,N
P-102509,C-30424,2025-12,459.93,Card,N
P-104567,C-30774,2025-07,400.44,Transfer,N
P-114053,C-32384,2025-08,1007.32,Transfer,N
P-105149,C-30872,2025-10,1219.75,Transfer,Y
P-106135,C-31040,2025-09,968.65,Transfer,N
P-106136,C-31040,2025-10,896.87,Transfer,N
P-120894,C-33547,2025-12,865.13,Transfer,N
P-108937,C-31512,2025-09,1636.61,Transfer,N
P-119445,C-33304,2025-09,778.55,Transfer,N
P-108066,C-31365,2025-12,721.45,Card,N
P-121442,C-33640,2025-11,1102.61,Transfer,N
P-119010,C-33228,2025-11,549.47,Transfer,Y
P-100376,C-30064,2025-10,619.7,Transfer,N
P-114283,C-32423,2025-09,798.12,Transfer,N
P-103227,C-30546,2025-07,694.71,Card,N
P-122255,C-33778,2025-09,726.71,Transfer,N
P-101372,C-30232,2025-08,1080.48,Card,N
P-110743,C-31818,2025-09,1075.23,Transfer,Y
P-110967,C-31856,2025-07,519.67,Transfer,Y
P-120618,C-33500,2025-09,435.0,Transfer,N
P-106364,C-31079,2025-08,780.89,Transfer,N
P-101839,C-30311,2025-11,756.17,Transfer,N
P-108302,C-31405,2025-10,600.3,Transfer,N
P-124631,C-34179,2025-08,403.73,Card,N
P-104242,C-30719,2025-07,738.77,Transfer,N
P-117440,C-32959,2025-09,885.74,Transfer,N
P-109422,C-31594,2025-12,740.24,Card,N
P-108665,C-31467,2025-08,389.46,Transfer,Y
P-110313,C-31744,2025-12,703.12,Transfer,Y
P-124213,C-34109,2025-07,1035.88,Card,N
P-108723,C-31476,2025-11,335.66,Card,N
P-123911,C-34056,2025-12,330.95,Transfer,N
P-124710,C-34192,2025-09,799.7,Transfer,N
P-101097,C-30186,2025-09,1092.54,Transfer,N
P-104088,C-30692,2025-08,930.94,Transfer,N
P-111509,C-31948,2025-11,1109.69,Transfer,N
P-107788,C-31318,2025-12,734.97,Transfer,N
P-119608,C-33331,2025-10,1149.11,Transfer,N
P-105845,C-30991,2025-12,962.48,Transfer,N
P-105463,C-30925,2025-11,598.24,Transfer,Y
P-116864,C-32860,2025-09,783.4,Transfer,N
P-106400,C-31085,2025-08,813.22,Transfer,N
P-112458,C-32111,2025-11,1087.97,Transfer,N
P-115649,C-32654,2025-12,428.17,Card,N
P-108358,C-31414,2025-12,726.1,Transfer,N
P-112008,C-32035,2025-10,1206.84,Card,N
P-107265,C-31231,2025-10,678.07,Card,N
P-108033,C-31360,2025-08,560.78,Transfer,N
P-102246,C-30380,2025-09,543.8,Card,N
P-107579,C-31284,2025-07,1168.07,Transfer,Y
P-107164,C-31213,2025-10,927.43,Card,N
P-105189,C-30879,2025-10,1114.69,Card,N
P-106718,C-31139,2025-08,685.48,Card,N
P-100906,C-30153,2025-10,731.14,Transfer,N
P-114681,C-32490,2025-12,1271.39,Transfer,N
P-107461,C-31264,2025-09,835.83,Transfer,N
P-102857,C-30484,2025-09,743.65,Transfer,N
P-116238,C-32753,2025-07,576.56,Transfer,N
P-103889,C-30658,2025-09,955.58,Transfer,Y
P-115871,C-32691,2025-12,636.8,Transfer,N
P-110827,C-31832,2025-08,747.67,Transfer,N
P-107373,C-31249,2025-11,605.98,Transfer,N
P-108228,C-31392,2025-12,1394.13,Transfer,Y
P-106103,C-31035,2025-07,967.1,Transfer,N
P-110547,C-31784,2025-10,753.12,Card,N
P-121943,C-33726,2025-09,590.62,Transfer,N
P-111154,C-31887,2025-09,507.52,Transfer,N
P-113291,C-32254,2025-11,814.6,Transfer,N
P-102626,C-30445,2025-12,644.11,Card,N
P-119607,C-33331,2025-09,1177.23,Transfer,N
P-123273,C-33949,2025-10,1041.84,Transfer,N
P-109688,C-31640,2025-08,731.59,Transfer,N
P-108535,C-31444,2025-09,526.9,Transfer,N
P-124682,C-34187,2025-11,1021.26,Transfer,N
P-124221,C-34110,2025-09,460.48,Transfer,N
P-104977,C-30843,2025-10,1234.85,Card,N
P-114327,C-32430,2025-11,709.03,Card,N
P-105911,C-31003,2025-07,675.36,Transfer,N
P-112166,C-32061,2025-10,1093.65,Transfer,N
P-104267,C-30723,2025-07,493.83,Card,N
P-107933,C-31343,2025-08,867.14,Card,Y
P-100220,C-30037,2025-10,1147.09,Card,Y
P-109387,C-31589,2025-07,754.35,Transfer,Y
P-110416,C-31762,2025-08,476.85,Transfer,N
P-102612,C-30443,2025-10,688.06,Transfer,N
P-100242,C-30041,2025-08,1336.18,Card,N
P-122276,C-33781,2025-12,1853.42,Card,N
P-104963,C-30841,2025-08,538.58,Transfer,N
P-104022,C-30680,2025-10,605.43,Transfer,N
P-120343,C-33454,2025-07,544.57,Transfer,N
P-104207,C-30712,2025-12,600.45,Card,N
P-106917,C-31172,2025-09,478.43,Transfer,N
P-118613,C-33160,2025-07,1364.74,Transfer,N
P-103219,C-30544,2025-11,772.11,Transfer,N
P-117825,C-33024,2025-10,470.29,Card,N
P-123676,C-34017,2025-11,750.08,Transfer,N
P-106722,C-31139,2025-12,670.79,Card,N
P-104325,C-30732,2025-11,747.06,Transfer,Y
P-122531,C-33824,2025-12,394.12,Transfer,N
P-101581,C-30268,2025-10,614.34,Transfer,N
P-117740,C-33009,2025-11,518.79,Transfer,N
P-111664,C-31976,2025-10,834.82,Card,N
P-105542,C-30938,2025-12,580.21,Transfer,N
P-117395,C-32951,2025-07,614.98,Transfer,N
P-105546,C-30939,2025-10,1455.26,Transfer,N
P-110244,C-31733,2025-09,1406.82,Transfer,N
P-124610,C-34175,2025-11,468.26,Transfer,N
P-112818,C-32174,2025-07,699.13,Transfer,N
P-123076,C-33916,2025-09,572.02,Card,N
P-108120,C-31374,2025-12,531.8,Card,N
P-101936,C-30327,2025-12,744.92,Transfer,N
P-103505,C-30592,2025-09,493.79,Transfer,Y
P-117287,C-32932,2025-10,495.81,Card,N
P-109649,C-31633,2025-11,916.35,Transfer,N
P-123585,C-34001,2025-12,897.12,Transfer,N
P-121594,C-33666,2025-11,684.85,Transfer,N
P-115246,C-32587,2025-07,948.52,Transfer,N
P-119632,C-33335,2025-10,852.4,Transfer,N
P-100459,C-30078,2025-10,781.75,Card,N
P-124073,C-34085,2025-08,400.68,Transfer,N
P-121723,C-33689,2025-07,744.1,Transfer,N
P-111573,C-31960,2025-11,1636.56,Transfer,N
P-110998,C-31861,2025-08,929.07,Transfer,Y
P-104414,C-30748,2025-08,632.37,Transfer,N
P-118856,C-33202,2025-12,999.96,Card,N
P-107365,C-31248,2025-09,1004.34,Card,N
P-103629,C-30613,2025-11,1177.17,Card,N
P-101440,C-30243,2025-11,477.68,Transfer,Y
P-119567,C-33324,2025-11,1243.38,Transfer,Y
P-107141,C-31209,2025-11,673.94,Transfer,N
P-104989,C-30845,2025-10,918.65,Transfer,N
P-108626,C-31460,2025-11,529.74,Transfer,N
P-122688,C-33851,2025-09,1086.63,Transfer,Y
P-109353,C-31583,2025-09,524.15,Transfer,N
P-113349,C-32264,2025-11,794.63,Transfer,N
P-100616,C-30105,2025-08,494.06,Transfer,N
P-117510,C-32971,2025-07,429.1,Card,N
P-105830,C-30989,2025-09,494.73,Transfer,N
P-113851,C-32349,2025-11,701.34,Transfer,N
P-107326,C-31241,2025-12,868.7,Transfer,N
P-112717,C-32156,2025-10,505.2,Card,N
P-107477,C-31267,2025-07,735.28,Transfer,N
P-116816,C-32852,2025-09,835.48,Transfer,Y
P-104532,C-30768,2025-08,440.89,Transfer,N
P-120565,C-33491,2025-07,385.05,Transfer,N
P-112917,C-32190,2025-07,865.82,Card,N
P-102134,C-30361,2025-11,594.09,Transfer,N
P-111736,C-31988,2025-10,518.86,Transfer,Y
P-102732,C-30463,2025-10,503.44,Transfer,Y
P-122854,C-33879,2025-07,887.42,Transfer,N
P-108178,C-31384,2025-10,873.47,Transfer,N
P-118173,C-33082,2025-12,626.83,Transfer,Y
P-111408,C-31930,2025-12,943.22,Transfer,N
P-116975,C-32879,2025-08,785.51,Transfer,Y
P-108253,C-31397,2025-07,773.95,Transfer,N
P-117821,C-33024,2025-07,456.52,Card,N
P-112248,C-32075,2025-08,497.77,Transfer,N
P-122454,C-33811,2025-10,1015.86,Transfer,N
P-114114,C-32394,2025-09,756.1,Transfer,N
P-113393,C-32272,2025-07,461.67,Transfer,N
P-102588,C-30439,2025-10,1276.25,Transfer,N
P-102241,C-30379,2025-10,617.91,Card,N
P-107018,C-31189,2025-08,628.78,Transfer,N
P-105060,C-30857,2025-10,1061.4,Transfer,Y
P-104211,C-30713,2025-10,568.49,Transfer,N
P-122288,C-33783,2025-12,583.63,Transfer,N
P-123935,C-34061,2025-07,880.18,Transfer,N
P-123116,C-33923,2025-07,508.92,Card,N
P-119554,C-33322,2025-10,579.66,Transfer,N
P-123214,C-33939,2025-12,523.89,Transfer,Y
P-121319,C-33620,2025-09,771.04,Transfer,N
P-113886,C-32356,2025-09,651.95,Transfer,N
P-107835,C-31326,2025-12,419.3,Transfer,N
P-111882,C-32013,2025-09,591.01,Transfer,N
P-103990,C-30675,2025-08,488.86,Transfer,N
P-120263,C-33440,2025-12,1232.28,Card,N
P-112994,C-32204,2025-10,801.06,Transfer,N
P-114187,C-32407,2025-09,558.0,Transfer,N
P-120563,C-33490,2025-11,1187.56,Transfer,N
P-106562,C-31112,2025-08,975.57,Transfer,Y
P-115215,C-32581,2025-12,1163.71,Transfer,N
P-111767,C-31993,2025-11,881.62,Transfer,Y
P-109208,C-31558,2025-10,551.4,Transfer,N
P-105038,C-30853,2025-11,747.42,Card,Y
P-113792,C-32339,2025-12,446.69,Transfer,N
P-106221,C-31054,2025-11,644.69,Transfer,N
P-106192,C-31049,2025-12,685.36,Transfer,N
P-119778,C-33359,2025-12,655.14,Transfer,N
P-121092,C-33582,2025-08,546.51,Transfer,N
P-120037,C-33403,2025-08,795.02,Transfer,N
P-105457,C-30924,2025-11,773.24,Card,N
P-102330,C-30394,2025-09,995.9,Transfer,N
P-109784,C-31656,2025-08,806.69,Transfer,N
P-102280,C-30386,2025-07,421.7,Transfer,Y
P-113360,C-32266,2025-10,395.05,Transfer,N
P-117666,C-32997,2025-09,959.68,Transfer,N
P-104569,C-30774,2025-09,501.09,Transfer,N
P-122402,C-33802,2025-12,623.81,Transfer,N
P-114972,C-32540,2025-07,1066.03,Transfer,N
P-114947,C-32535,2025-12,690.28,Transfer,N
P-102887,C-30489,2025-09,1032.94,Transfer,N
P-106264,C-31062,2025-10,1075.31,Transfer,N
P-122748,C-33861,2025-09,1241.86,Transfer,N
P-121065,C-33577,2025-08,906.66,Transfer,N
P-124526,C-34161,2025-07,562.03,Transfer,N
P-107367,C-31248,2025-11,961.83,Transfer,Y
P-124421,C-34143,2025-11,630.1,Card,N
P-113838,C-32347,2025-10,627.97,Card,N
P-123428,C-33975,2025-09,1096.59,Transfer,N
P-102064,C-30350,2025-07,879.6,Transfer,N
P-117074,C-32896,2025-08,735.13,Transfer,N
P-118343,C-33112,2025-12,737.42,Transfer,N
P-105721,C-30969,2025-12,1377.15,Transfer,N
P-111999,C-32034,2025-07,1061.04,Transfer,N
P-113841,C-32348,2025-07,782.79,Transfer,Y
P-120649,C-33506,2025-09,986.58,Transfer,Y
P-117893,C-33035,2025-11,665.06,Transfer,Y
P-121014,C-33568,2025-11,689.21,Card,Y
P-112395,C-32101,2025-07,667.48,Card,N
P-112459,C-32111,2025-12,795.41,Transfer,N
P-106647,C-31127,2025-09,610.1,Transfer,N
P-105916,C-31003,2025-12,694.41,Transfer,Y
P-113249,C-32248,2025-07,745.27,Transfer,N
P-114043,C-32382,2025-10,790.78,Transfer,N
P-116932,C-32872,2025-08,1332.58,Transfer,N
P-124677,C-34186,2025-12,1025.92,Transfer,N
P-100461,C-30078,2025-12,760.96,Card,Y
P-100278,C-30047,2025-08,662.14,Transfer,Y
P-121634,C-33673,2025-09,1300.97,Transfer,N
