case_id,district,household_size,age_band,language_preference,tenure,opened_date,status,closure_month,monthly_award,payment_adjustments,contact_attempts,months_since_review
C-30050,Calder Central,2,45-59,Spanish,Social tenancy,2023-05-21,Active,,516.46,4,7,3
C-30051,Weybridge,4,18-29,English,Resident with family,2023-10-19,Active,,735.35,0,2,22
C-30052,Ash Hill,1,60-74,Spanish,Social tenancy,2021-03-01,Suspended,,487.24,1,3,17
C-30053,Calder Central,1,30-44,Other,Private tenancy,2021-11-28,Active,,742.34,5,5,12
C-30054,Northgate,6,75+,Other,Social tenancy,2021-09-14,Active,,1155.8,2,5,4
C-30055,Weybridge,5,75+,English,No fixed abode,2025-08-16,Active,,1286.24,0,2,14
C-30056,Northgate,1,60-74,English,Social tenancy,2022-06-25,Closed,2025-10,733.94,1,4,18
C-30057,Northgate,4,75+,English,Social tenancy,2021-04-21,Active,,811.25,1,1,0
C-30058,Calder Central,2,30-44,English,Social tenancy,2022-03-29,Active,,818.75,0,5,22
C-30059,Weybridge,1,18-29,English,Private tenancy,2021-12-26,Active,,507.64,2,3,1
C-30060,Calder Central,1,45-59,English,Private tenancy,2022-12-06,Active,,671.45,0,1,11
C-30061,Ash Hill,1,75+,English,Owner-occupier,2024-11-15,Active,,433.99,2,1,10
C-30062,Calder Central,2,45-59,English,Social tenancy,2023-04-19,Closed,2025-08,805.15,1,1,17
C-30063,Weybridge,2,30-44,English,Resident with family,2023-04-03,Active,,865.13,0,2,3
C-30064,Calder Central,1,45-59,English,Resident with family,2024-11-11,Active,,626.13,0,2,0
C-30065,Northgate,3,30-44,English,Resident with family,2022-04-24,Closed,2025-11,957.94,0,2,9
C-30066,Calder Central,4,75+,English,No fixed abode,2022-07-25,Active,,1031.88,2,4,2
C-30067,Weybridge,1,45-59,English,Social tenancy,2021-05-15,Active,,435.4,1,2,11
C-30068,Ash Hill,3,75+,Spanish,Private tenancy,2023-10-25,Active,,1031.55,1,4,8
C-30069,Ash Hill,3,45-59,English,Owner-occupier,2025-03-18,Active,,1109.63,0,1,18
C-30070,Northgate,1,60-74,English,Resident with family,2025-06-29,Active,,381.55,1,3,16
C-30071,Calder Central,1,30-44,English,Resident with family,2022-07-27,Active,,466.78,0,1,16
C-30072,Northgate,5,60-74,English,Owner-occupier,2024-01-25,Active,,1190.13,1,1,16
C-30073,Ash Hill,1,75+,English,Social tenancy,2022-11-19,Active,,438.32,1,1,9
C-30074,Calder Central,4,60-74,Spanish,No fixed abode,2021-09-13,Active,,1164.7,2,4,16
C-30075,Ash Hill,4,45-59,English,Owner-occupier,2023-11-21,Active,,1237.3,1,2,0
C-30076,Northgate,3,45-59,English,Resident with family,2022-07-27,Active,,602.32,0,2,10
C-30077,Weybridge,3,60-74,Other,No fixed abode,2024-08-22,Active,,944.27,2,2,4
C-30078,Weybridge,3,30-44,English,Resident with family,2025-07-07,Active,,799.46,1,2,4
C-30079,Calder Central,1,30-44,Spanish,No fixed abode,2023-02-06,Active,,537.95,3,5,3
C-30080,Weybridge,1,30-44,Other,Private tenancy,2023-02-27,Active,,666.52,1,7,1
C-30081,Northgate,5,45-59,Spanish,Resident with family,2022-03-15,Active,,898.38,1,4,22
C-30082,Weybridge,3,75+,English,Resident with family,2024-07-20,Active,,918.28,0,0,2
C-30083,Weybridge,1,75+,English,Private tenancy,2022-05-11,Active,,430.26,1,4,11
C-30084,Northgate,3,30-44,Other,Social tenancy,2023-01-28,Active,,858.18,2,5,0
C-30085,Weybridge,1,45-59,English,No fixed abode,2023-05-03,Active,,525.82,1,3,4
C-30086,Northgate,2,18-29,English,Social tenancy,2021-01-29,Active,,605.46,1,1,14
C-30087,Northgate,4,45-59,English,Resident with family,2023-02-10,Active,,934.5,1,2,9
C-30088,Weybridge,3,60-74,English,No fixed abode,2021-06-27,Active,,928.86,1,2,15
C-30089,Weybridge,3,30-44,English,Private tenancy,2022-12-17,Active,,1237.37,0,3,8
C-30090,Northgate,5,45-59,English,No fixed abode,2023-08-05,Active,,1156.37,0,1,2
C-30091,Northgate,2,18-29,English,Resident with family,2024-05-12,Active,,547.8,1,2,8
C-30092,Northgate,3,45-59,English,Resident with family,2021-04-08,Active,,1199.89,0,3,8
C-30093,Calder Central,2,30-44,Other,Owner-occupier,2021-02-09,Active,,755.66,0,6,11
C-30094,Calder Central,3,30-44,Other,Social tenancy,2022-06-13,Active,,947.83,2,5,18
C-30095,Ash Hill,4,30-44,English,Owner-occupier,2023-10-29,Active,,1386.99,1,4,7
C-30096,Ash Hill,1,18-29,Spanish,Resident with family,2023-03-01,Active,,392.36,1,4,21
C-30097,Calder Central,4,45-59,Spanish,Social tenancy,2021-04-10,Closed,2025-10,1394.97,3,4,20
C-30098,Northgate,4,45-59,English,Resident with family,2023-11-08,Closed,2025-07,1113.47,2,2,21
C-30099,Northgate,2,30-44,English,Social tenancy,2023-05-06,Active,,607.36,0,2,1
C-30100,Northgate,2,45-59,English,No fixed abode,2021-07-01,Suspended,,980.0,0,4,18
C-30101,Ash Hill,3,30-44,English,Owner-occupier,2025-08-19,Active,,773.58,1,2,11
C-30102,Calder Central,3,60-74,English,No fixed abode,2022-09-06,Active,,940.36,1,0,0
C-30103,Calder Central,1,18-29,English,Resident with family,2024-02-20,Active,,675.98,1,2,16
C-30104,Calder Central,1,75+,Spanish,No fixed abode,2025-08-10,Active,,648.78,3,3,3
C-30105,Northgate,1,30-44,Spanish,Private tenancy,2024-05-09,Active,,472.53,2,6,3
C-30106,Calder Central,4,45-59,English,Owner-occupier,2021-11-17,Active,,835.98,1,0,11
C-30107,Ash Hill,5,45-59,English,Resident with family,2022-07-02,Active,,1024.36,0,4,6
C-30108,Ash Hill,1,60-74,English,No fixed abode,2021-07-20,Active,,372.19,0,3,4
C-30109,Weybridge,2,60-74,English,Private tenancy,2022-03-05,Active,,671.73,0,1,4
C-30110,Calder Central,4,75+,English,Private tenancy,2023-02-02,Active,,794.97,1,1,3
C-30111,Northgate,3,45-59,Spanish,No fixed abode,2023-03-05,Active,,1145.51,2,6,9
C-30112,Northgate,2,60-74,English,No fixed abode,2024-09-09,Active,,928.48,2,3,12
C-30113,Weybridge,3,60-74,English,Social tenancy,2023-04-27,Active,,666.17,0,3,14
C-30114,Ash Hill,4,75+,English,Social tenancy,2021-09-01,Active,,896.37,0,0,16
C-30115,Northgate,4,60-74,English,Resident with family,2022-12-09,Active,,1330.56,2,0,7
C-30116,Northgate,4,30-44,English,Private tenancy,2023-04-20,Active,,931.72,0,3,3
C-30117,Weybridge,2,18-29,English,Social tenancy,2023-12-16,Active,,675.43,2,3,3
C-30118,Weybridge,3,18-29,English,Owner-occupier,2022-10-12,Active,,920.04,1,1,5
C-30119,Calder Central,1,18-29,English,Social tenancy,2022-10-16,Active,,617.31,0,1,19
C-30120,Northgate,2,30-44,English,Owner-occupier,2022-04-22,Active,,572.87,0,3,7
C-30121,Calder Central,2,30-44,Spanish,Social tenancy,2022-12-07,Closed,2025-09,531.08,5,5,22
C-30122,Calder Central,1,30-44,English,Owner-occupier,2024-01-02,Closed,2025-12,728.57,0,1,17
C-30123,Ash Hill,2,45-59,English,No fixed abode,2025-07-23,Active,,735.03,1,3,19
C-30124,Northgate,1,18-29,English,Social tenancy,2024-02-07,Active,,664.39,1,0,12
C-30125,Calder Central,1,45-59,English,Social tenancy,2023-07-14,Active,,518.24,0,3,3
C-30126,Calder Central,2,45-59,English,Private tenancy,2022-09-23,Active,,905.66,0,2,17
C-30127,Northgate,5,45-59,English,Owner-occupier,2021-04-14,Active,,848.14,0,1,7
C-30128,Northgate,6,30-44,English,Owner-occupier,2023-03-16,Active,,1065.58,1,3,21
C-30129,Northgate,3,30-44,Spanish,Owner-occupier,2023-12-31,Active,,631.67,3,3,23
C-30130,Weybridge,1,45-59,English,Resident with family,2023-04-17,Suspended,,456.09,1,2,20
C-30131,Weybridge,6,60-74,English,Social tenancy,2025-07-24,Active,,1245.96,1,1,6
C-30132,Weybridge,1,60-74,Spanish,Resident with family,2023-12-31,Active,,608.24,1,4,13
C-30133,Northgate,2,30-44,English,Social tenancy,2025-08-02,Active,,620.14,0,2,22
C-30134,Calder Central,4,18-29,English,Social tenancy,2024-04-03,Active,,1043.66,2,1,12
C-30135,Calder Central,1,30-44,English,Social tenancy,2024-03-26,Active,,588.3,2,1,0
C-30136,Northgate,6,30-44,English,No fixed abode,2023-01-20,Suspended,,1628.8,0,4,20
C-30137,Northgate,2,45-59,Spanish,Owner-occupier,2024-02-04,Active,,849.01,0,4,3
C-30138,Weybridge,1,60-74,Spanish,No fixed abode,2021-01-27,Active,,593.43,0,4,17
C-30139,Calder Central,1,30-44,English,Private tenancy,2021-02-27,Active,,452.97,1,1,4
C-30140,Weybridge,1,45-59,English,Social tenancy,2024-12-01,Active,,542.43,0,0,20
C-30141,Weybridge,6,75+,English,No fixed abode,2023-08-12,Active,,1673.86,0,3,13
C-30142,Northgate,1,30-44,Spanish,Owner-occupier,2021-02-14,Active,,747.3,2,4,5
C-30143,Calder Central,3,18-29,English,No fixed abode,2022-07-19,Suspended,,1112.38,0,1,5
C-30144,Calder Central,1,30-44,English,No fixed abode,2021-06-21,Active,,524.39,1,3,10
C-30145,Calder Central,2,30-44,English,Private tenancy,2024-10-11,Active,,884.82,1,4,7
C-30146,Northgate,4,30-44,Other,Resident with family,2022-06-28,Active,,1226.92,2,5,15
C-30147,Calder Central,1,18-29,Other,Social tenancy,2022-04-07,Active,,384.89,0,7,23
C-30148,Northgate,1,30-44,English,Owner-occupier,2022-02-06,Active,,452.36,1,3,23
C-30149,Northgate,2,60-74,English,Resident with family,2022-09-03,Active,,650.76,1,3,20
C-30150,Northgate,2,18-29,English,Private tenancy,2021-07-22,Active,,829.08,1,3,15
C-30151,Calder Central,3,30-44,English,No fixed abode,2021-08-31,Active,,658.18,1,2,7
C-30152,Calder Central,1,18-29,English,Social tenancy,2023-07-19,Active,,688.36,3,5,4
C-30153,Calder Central,3,75+,Spanish,Owner-occupier,2022-03-29,Active,,757.48,0,4,9
C-30154,Ash Hill,1,18-29,English,Resident with family,2022-01-28,Active,,406.74,0,2,12
C-30155,Northgate,5,18-29,English,Private tenancy,2025-08-20,Active,,929.17,0,2,3
C-30156,Calder Central,1,18-29,English,Private tenancy,2023-06-15,Active,,487.24,0,2,17
C-30157,Calder Central,1,30-44,Other,Owner-occupier,2023-03-06,Active,,695.86,2,4,3
C-30158,Calder Central,4,30-44,English,Private tenancy,2021-08-15,Active,,1344.66,0,1,19
C-30159,Weybridge,2,60-74,English,Social tenancy,2021-03-17,Active,,725.31,0,3,12
C-30160,Northgate,1,45-59,English,Resident with family,2021-07-15,Active,,708.35,2,2,20
C-30161,Weybridge,1,60-74,English,Resident with family,2024-05-18,Active,,372.84,0,3,10
C-30162,Northgate,1,60-74,English,No fixed abode,2023-06-25,Active,,453.68,1,3,16
C-30163,Weybridge,2,45-59,English,Social tenancy,2024-08-30,Active,,595.93,1,2,18
C-30164,Weybridge,3,60-74,English,Owner-occupier,2021-06-05,Active,,1046.34,2,1,22
C-30165,Ash Hill,1,18-29,English,No fixed abode,2023-08-14,Active,,520.08,2,1,23
C-30166,Calder Central,5,75+,Spanish,Social tenancy,2025-06-23,Closed,2025-10,932.09,1,2,2
C-30167,Calder Central,2,18-29,English,Private tenancy,2021-08-23,Active,,688.04,1,4,9
C-30168,Calder Central,2,30-44,Spanish,Private tenancy,2022-12-31,Active,,609.84,1,2,12
C-30169,Calder Central,2,18-29,English,No fixed abode,2025-03-04,Active,,648.29,1,4,13
C-30170,Calder Central,3,60-74,English,Resident with family,2023-09-29,Active,,843.78,1,2,13
C-30171,Ash Hill,2,30-44,English,Owner-occupier,2022-10-14,Active,,516.28,1,1,6
C-30172,Ash Hill,1,30-44,English,Private tenancy,2024-07-10,Active,,424.6,2,5,22
C-30173,Calder Central,3,75+,Spanish,Resident with family,2024-08-13,Active,,1121.88,1,3,10
C-30174,Calder Central,1,45-59,Other,Social tenancy,2023-01-04,Active,,459.9,1,4,5
C-30175,Calder Central,4,45-59,English,Private tenancy,2022-03-23,Active,,1308.36,0,1,9
C-30176,Calder Central,1,18-29,English,Private tenancy,2023-12-08,Active,,707.07,0,3,15
C-30177,Weybridge,5,18-29,English,Resident with family,2021-01-05,Active,,1127.62,4,1,21
C-30178,Northgate,1,30-44,English,No fixed abode,2022-08-27,Active,,684.9,1,3,8
C-30179,Ash Hill,1,45-59,Spanish,No fixed abode,2024-04-28,Active,,691.53,1,4,7
C-30180,Calder Central,1,45-59,English,Resident with family,2023-05-15,Active,,738.54,0,0,20
C-30181,Weybridge,4,30-44,English,Private tenancy,2022-06-01,Active,,842.7,1,3,9
C-30182,Ash Hill,1,45-59,English,Owner-occupier,2025-03-11,Active,,487.75,2,1,8
C-30183,Northgate,5,45-59,English,Social tenancy,2022-01-26,Active,,1285.75,0,4,13
C-30184,Northgate,2,30-44,English,No fixed abode,2023-08-08,Active,,952.55,2,4,19
C-30185,Ash Hill,5,75+,English,Resident with family,2024-02-28,Closed,2025-07,932.34,0,0,1
C-30186,Calder Central,6,45-59,English,Social tenancy,2021-07-05,Active,,1257.5,0,3,6
C-30187,Northgate,4,60-74,English,Owner-occupier,2023-07-20,Active,,1125.12,0,0,1
C-30188,Calder Central,1,30-44,English,No fixed abode,2022-05-27,Active,,596.49,1,1,16
C-30189,Northgate,3,75+,English,Social tenancy,2022-09-23,Active,,1125.79,1,3,5
C-30190,Calder Central,3,60-74,English,No fixed abode,2022-08-25,Active,,812.08,0,1,1
C-30191,Ash Hill,2,18-29,English,Resident with family,2022-01-23,Active,,969.84,0,2,14
C-30192,Calder Central,1,75+,English,Private tenancy,2021-10-06,Active,,758.01,0,0,18
C-30193,Weybridge,4,45-59,Other,Private tenancy,2023-06-10,Active,,1261.17,4,3,7
C-30194,Calder Central,4,30-44,Spanish,Resident with family,2021-04-22,Active,,942.89,2,1,17
C-30195,Northgate,3,18-29,English,Social tenancy,2023-03-19,Active,,866.45,2,0,11
C-30196,Calder Central,2,75+,Spanish,Social tenancy,2022-09-22,Active,,690.08,1,3,4
C-30197,Calder Central,6,30-44,Spanish,Resident with family,2021-06-24,Active,,1500.24,1,4,3
C-30198,Ash Hill,4,75+,English,Resident with family,2021-10-27,Active,,791.97,0,1,16
C-30199,Weybridge,5,30-44,English,Resident with family,2022-09-01,Active,,1534.23,2,1,2
C-30200,Northgate,2,18-29,English,Social tenancy,2023-05-20,Active,,963.31,1,2,17
C-30201,Northgate,2,30-44,English,No fixed abode,2023-11-06,Active,,1016.19,1,1,8
C-30202,Calder Central,1,60-74,Spanish,Owner-occupier,2022-06-19,Active,,762.54,1,4,17
C-30203,Weybridge,1,60-74,English,Private tenancy,2024-06-27,Active,,503.0,0,2,1
C-30204,Weybridge,4,45-59,English,No fixed abode,2024-09-03,Active,,837.07,1,0,22
C-30205,Calder Central,1,60-74,English,Owner-occupier,2021-10-10,Active,,528.84,2,0,6
C-30206,Ash Hill,1,18-29,Other,Owner-occupier,2021-10-21,Active,,733.94,1,1,15
C-30207,Ash Hill,6,45-59,English,No fixed abode,2021-10-19,Active,,995.43,3,3,13
C-30208,Calder Central,1,60-74,English,Private tenancy,2023-04-12,Active,,631.58,0,1,6
C-30209,Weybridge,2,30-44,English,Resident with family,2024-08-09,Active,,682.84,0,2,11
C-30210,Northgate,3,60-74,English,Owner-occupier,2021-05-27,Active,,601.36,1,1,14
C-30211,Ash Hill,2,18-29,English,Owner-occupier,2024-06-30,Active,,732.72,0,1,7
C-30212,Calder Central,2,75+,English,Owner-occupier,2025-01-22,Active,,880.16,1,0,7
C-30213,Calder Central,2,60-74,English,Owner-occupier,2022-08-28,Active,,827.99,1,0,13
C-30214,Weybridge,4,45-59,English,Private tenancy,2022-03-31,Active,,1172.62,0,1,17
C-30215,Ash Hill,3,30-44,English,Resident with family,2025-02-28,Active,,891.29,2,0,6
C-30216,Ash Hill,4,60-74,English,Social tenancy,2022-12-21,Active,,1313.08,1,3,4
C-30217,Weybridge,3,18-29,English,Resident with family,2022-11-02,Active,,696.34,0,2,8
C-30218,Calder Central,2,75+,English,Social tenancy,2023-01-21,Active,,898.9,1,2,1
C-30219,Weybridge,5,60-74,English,No fixed abode,2025-02-14,Active,,1235.72,0,2,8
C-30220,Weybridge,4,18-29,Other,Resident with family,2024-09-21,Active,,1311.51,1,2,20
C-30221,Calder Central,6,30-44,English,Resident with family,2024-07-01,Active,,1813.82,0,1,5
C-30222,Northgate,1,30-44,English,Owner-occupier,2025-08-26,Active,,476.1,0,2,19
C-30223,Calder Central,4,45-59,English,Private tenancy,2022-04-27,Active,,1194.64,1,2,4
C-30224,Ash Hill,3,18-29,Spanish,Social tenancy,2024-03-30,Active,,639.14,3,5,21
C-30225,Northgate,3,60-74,English,No fixed abode,2022-11-08,Active,,749.55,0,3,0
C-30226,Northgate,2,45-59,English,Private tenancy,2021-08-21,Active,,524.75,1,1,22
C-30227,Ash Hill,4,45-59,English,Owner-occupier,2024-08-02,Active,,1434.1,0,4,2
C-30228,Ash Hill,1,45-59,English,Private tenancy,2024-04-15,Active,,383.6,0,0,17
C-30229,Northgate,1,18-29,English,Social tenancy,2025-05-19,Active,,637.83,1,3,11
C-30230,Calder Central,2,18-29,English,Social tenancy,2022-04-20,Active,,599.67,0,1,8
C-30231,Northgate,2,30-44,English,No fixed abode,2025-03-16,Active,,501.25,0,2,19
C-30232,Weybridge,3,30-44,English,No fixed abode,2022-05-11,Active,,1024.71,0,1,3
C-30233,Northgate,1,75+,English,Owner-occupier,2022-11-01,Suspended,,609.24,1,0,18
C-30234,Calder Central,5,45-59,English,Resident with family,2023-05-14,Active,,1577.11,1,3,11
C-30235,Calder Central,6,60-74,English,Resident with family,2024-02-20,Active,,1038.35,2,1,23
C-30236,Northgate,1,60-74,English,Private tenancy,2024-08-17,Closed,2025-11,754.36,0,2,16
C-30237,Weybridge,1,60-74,English,Social tenancy,2023-02-10,Active,,733.12,0,0,3
C-30238,Northgate,2,30-44,English,No fixed abode,2024-10-15,Active,,585.79,0,0,20
C-30239,Northgate,1,30-44,Other,Private tenancy,2021-12-29,Active,,418.23,1,2,4
C-30240,Weybridge,2,30-44,English,Owner-occupier,2023-01-04,Active,,536.63,0,1,2
C-30241,Calder Central,2,75+,Spanish,Private tenancy,2023-12-05,Active,,727.24,2,3,7
C-30242,Weybridge,3,18-29,English,Resident with family,2024-05-03,Active,,880.12,1,3,7
C-30243,Calder Central,1,18-29,Other,Social tenancy,2024-11-17,Active,,495.66,2,5,0
C-30244,Northgate,1,45-59,English,Owner-occupier,2023-06-24,Active,,740.54,0,1,17
C-30245,Northgate,4,60-74,Spanish,Resident with family,2023-10-04,Active,,915.74,1,6,1
C-30246,Northgate,3,45-59,English,Social tenancy,2023-08-20,Closed,2025-09,767.59,0,0,15
C-30247,Northgate,2,30-44,English,Social tenancy,2022-12-03,Active,,746.3,1,2,6
C-30248,Calder Central,4,60-74,English,Private tenancy,2023-05-21,Active,,815.3,0,2,9
C-30249,Northgate,3,18-29,English,Private tenancy,2023-01-11,Active,,1032.64,0,3,15
C-30250,Weybridge,2,60-74,English,Private tenancy,2021-02-06,Suspended,,576.1,1,4,13
C-30251,Calder Central,4,60-74,English,Resident with family,2023-01-28,Closed,2025-10,1252.44,1,1,12
C-30252,Calder Central,6,75+,English,Owner-occupier,2021-06-02,Active,,920.96,0,2,6
C-30253,Northgate,2,75+,English,Private tenancy,2025-05-20,Suspended,,867.14,1,0,13
C-30254,Northgate,2,45-59,Other,Owner-occupier,2022-05-15,Active,,912.8,2,6,8
C-30255,Weybridge,4,30-44,English,Resident with family,2025-07-20,Active,,1056.93,0,3,1
C-30256,Calder Central,1,60-74,Spanish,Resident with family,2022-10-16,Active,,491.54,1,4,6
C-30257,Weybridge,1,30-44,English,No fixed abode,2023-12-20,Active,,478.26,1,1,12
C-30258,Calder Central,1,60-74,Spanish,Private tenancy,2023-08-01,Active,,380.66,4,6,12
C-30259,Weybridge,1,45-59,English,Resident with family,2022-10-11,Active,,600.84,2,0,23
C-30260,Northgate,3,30-44,Spanish,No fixed abode,2025-07-11,Active,,840.31,0,5,22
C-30261,Calder Central,4,60-74,English,Owner-occupier,2022-09-02,Active,,1289.16,0,2,0
C-30262,Ash Hill,4,30-44,English,Owner-occupier,2022-09-25,Closed,2025-08,777.54,0,2,6
C-30263,Weybridge,3,30-44,English,Resident with family,2022-10-09,Active,,1093.94,4,2,5
C-30264,Ash Hill,4,45-59,English,Social tenancy,2025-06-03,Active,,1002.93,0,1,22
C-30265,Calder Central,1,30-44,Other,Private tenancy,2023-06-06,Active,,691.78,3,3,23
C-30266,Northgate,2,18-29,English,Resident with family,2022-09-27,Active,,806.85,0,4,16
C-30267,Weybridge,1,45-59,English,Social tenancy,2024-08-28,Active,,502.19,2,1,5
C-30268,Weybridge,2,60-74,Spanish,Social tenancy,2021-01-04,Active,,619.36,4,2,6
C-30269,Weybridge,4,60-74,English,No fixed abode,2025-02-15,Active,,1054.51,2,4,3
C-30270,Weybridge,1,45-59,English,Private tenancy,2024-02-23,Active,,379.24,0,0,15
C-30271,Northgate,6,30-44,English,Resident with family,2024-08-07,Active,,1161.79,0,3,1
C-30272,Weybridge,3,45-59,English,Resident with family,2025-03-16,Active,,1123.25,0,1,10
C-30273,Northgate,4,18-29,Spanish,Private tenancy,2022-12-26,Active,,984.07,2,2,15
C-30274,Weybridge,2,45-59,English,Social tenancy,2023-12-06,Active,,861.16,0,2,5
C-30275,Northgate,1,30-44,English,No fixed abode,2022-04-01,Active,,739.65,1,2,4
C-30276,Calder Central,6,60-74,Spanish,Owner-occupier,2021-03-15,Active,,1240.08,1,4,14
C-30277,Calder Central,4,45-59,Spanish,Resident with family,2021-11-12,Active,,1222.0,2,4,20
C-30278,Ash Hill,1,30-44,English,Resident with family,2022-07-07,Active,,716.74,1,1,4
C-30279,Northgate,4,18-29,Other,Resident with family,2021-10-03,Active,,1006.09,3,3,21
C-30280,Calder Central,1,60-74,English,Owner-occupier,2024-10-10,Active,,428.28,1,1,4
C-30281,Ash Hill,5,75+,English,Private tenancy,2024-03-01,Active,,1092.08,2,2,2
C-30282,Northgate,2,60-74,English,Resident with family,2023-07-23,Active,,603.99,2,5,16
C-30283,Northgate,1,30-44,English,Resident with family,2021-10-12,Active,,594.54,1,2,7
C-30284,Northgate,1,30-44,Other,Resident with family,2023-03-13,Active,,559.85,2,4,4
C-30285,Weybridge,2,18-29,English,Resident with family,2023-08-01,Active,,674.01,1,1,11
C-30286,Weybridge,2,30-44,English,Private tenancy,2023-06-25,Active,,798.55,1,1,13
C-30287,Northgate,3,18-29,English,Social tenancy,2024-04-18,Active,,990.75,1,0,14
C-30288,Weybridge,6,75+,English,No fixed abode,2022-09-23,Active,,1421.66,0,1,18
C-30289,Calder Central,1,18-29,English,Private tenancy,2025-06-03,Active,,660.44,4,6,5
