case_id,district,household_size,age_band,language_preference,tenure,opened_date,status,closure_month,monthly_award,payment_adjustments,contact_attempts,months_since_review,payment_count,total_paid,average_payment,maximum_payment,minimum_payment,payment_std,adjustment_payment_count,needs_figure,average_payment_to_award_ratio,maximum_payment_to_award_ratio,payment_variability,adjustment_rate,award_to_needs_ratio,unusual_payment_count,first_month_payment,last_month_payment,first_to_last_change,first_to_last_change_pct,high_payment_months,months_above_award,largest_monthly_increase,largest_monthly_decrease,risk_score,average_ratio_score,maximum_ratio_score,high_month_score,above_award_score,variability_score,administrative_activity_flag,administrative_context,final_risk_score,investigator_context,rank
C-33263,Calder Central,6,30-44,Spanish,No fixed abode,2025-03-20,Suspended,0,1368.13,3,5,6,6,15128.2,2521.366666666667,2729.07,2253.21,187.07516058169418,3,2990,1.8429291563423553,1.9947446514585603,0.07419593629712491,0.5,0.45756856187290973,0,2729.07,2338.2,-390.87000000000035,-0.14322461497872913,6,6,397.9499999999998,-364.1999999999998,66.96,14.05,9.95,25.0,15.0,2.97,0,,66.96,No strong administrative-activity warning detected.,15
C-32671,Weybridge,3,18-29,Spanish,Owner-occupier,2024-07-06,Active,0,931.72,2,3,0,6,9754.94,1625.8233333333335,1872.06,1495.29,152.6338401098087,0,2000,1.7449698765008086,2.0092517065212725,0.09388095064232604,0.0,0.46586,0,1572.96,1499.45,-73.50999999999999,-0.04673354694334248,6,6,299.0999999999999,-189.89999999999986,66.26,12.42,10.09,25.0,15.0,3.76,0,,66.26,No strong administrative-activity warning detected.,16
C-32724,Ash Hill,2,60-74,English,Owner-occupier,2025-04-05,Active,0,794.07,1,4,16,6,8235.720000000001,1372.6200000000001,1570.42,1241.66,143.1162389108938,2,1670,1.7285881597340285,1.977684587001146,0.10426501064452928,0.3333333333333333,0.4754910179640719,0,1485.13,1570.42,85.28999999999996,0.05742931595213884,6,6,311.1500000000001,-243.47000000000003,66.09,12.14,9.78,25.0,15.0,4.17,0,,66.09,No strong administrative-activity warning detected.,17
C-33181,Ash Hill,2,45-59,English,No fixed abode,2022-05-17,Active,0,768.87,4,2,0,6,8456.59,1409.4316666666666,1538.34,1342.1,72.95790523765515,1,1670,1.8331209003689397,2.00078036599165,0.05176405991373957,0.16666666666666666,0.4604011976047904,0,1388.71,1364.86,-23.850000000000136,-0.017174212038510658,6,6,149.62999999999988,-166.03999999999996,65.96,13.89,10.01,25.0,15.0,2.07,1,4 payment adjustments,65.96,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.,18
C-32962,Calder Central,4,18-29,English,Private tenancy,2022-03-03,Suspended,0,1017.53,3,3,12,6,11042.27,1840.3783333333333,2005.5,1727.08,113.29784594892644,1,2330,1.8086723077779854,1.970949259481293,0.06156225809489884,0.16666666666666666,0.43670815450643774,0,1727.08,1857.85,130.76999999999998,0.07571739583574588,6,6,207.31000000000017,-218.47000000000003,65.65,13.48,9.71,25.0,15.0,2.46,0,,65.65,No strong administrative-activity warning detected.,19
C-31550,Weybridge,1,18-29,English,Resident with family,2021-03-23,Active,0,556.82,1,4,7,6,6041.45,1006.9083333333333,1099.11,933.27,60.66396769637362,2,1240,1.8083192653520586,1.973905391329334,0.060247756114548946,0.3333333333333333,0.44904838709677425,0,1041.06,1008.97,-32.08999999999992,-0.030824352102664515,6,6,165.83999999999992,-107.78999999999996,65.62,13.47,9.74,25.0,15.0,2.41,0,,65.62,No strong administrative-activity warning detected.,20
C-31668,Ash Hill,3,60-74,English,No fixed abode,2023-06-07,Closed,2025-12,912.22,3,4,5,6,9574.07,1595.6783333333333,1675.12,1492.35,68.91868989371945,1,2000,1.7492253330702388,1.8363114161057639,0.04319084144593853,0.16666666666666666,0.45611,0,1649.11,1541.08,-108.02999999999997,-0.06550806192431068,6,6,48.73000000000002,-133.34000000000015,62.58,12.49,8.36,25.0,15.0,1.73,0,,62.58,No strong administrative-activity warning detected.,21
C-31131,Ash Hill,3,30-44,English,Resident with family,2022-03-04,Suspended,0,952.41,3,5,6,6,9871.91,1645.3183333333334,1755.97,1507.23,81.88645636896658,1,2000,1.7275315602874113,1.8437122667758634,0.04976936967758007,0.16666666666666666,0.476205,0,1638.71,1755.97,117.25999999999999,0.07155628512671552,6,6,178.47000000000003,-131.48000000000002,62.55,12.13,8.44,25.0,15.0,1.99,0,,62.55,No strong administrative-activity warning detected.,22
C-31802,Calder Central,2,60-74,English,Resident with family,2022-07-18,Active,0,820.04,1,4,4,6,8644.92,1440.82,1563.15,1223.67,125.67608332534874,3,1670,1.7570118530803376,1.906187503048632,0.08722538785229851,0.5,0.4910419161676646,0,1501.08,1509.23,8.150000000000091,0.005429424147946872,5,6,263.3499999999999,-277.40999999999985,61.0,12.62,9.06,20.83,15.0,3.49,0,,61.0,No strong administrative-activity warning detected.,23
C-34118,Northgate,5,18-29,English,Owner-occupier,2021-04-07,Active,0,1365.62,0,5,7,6,13585.529999999999,2264.2549999999997,2476.31,1972.93,197.02074213138067,0,2660,1.658041768573981,1.8133228863080506,0.0870134954461316,0.0,0.513390977443609,0,2087.83,2423.42,335.59000000000015,0.16073626684164907,5,6,450.49,-503.3799999999999,58.41,10.97,8.13,20.83,15.0,3.48,0,,58.41,No strong administrative-activity warning detected.,24
C-34180,Ash Hill,2,75+,English,Resident with family,2022-07-29,Active,0,866.84,2,6,20,6,8486.05,1414.3416666666665,1557.33,1215.34,124.82761992710854,1,1670,1.6316063710334854,1.7965599187854735,0.088258461776993,0.16666666666666666,0.5190658682634731,0,1557.33,1377.55,-179.77999999999997,-0.11544117174908336,5,6,162.21000000000004,-282.3800000000001,57.86,10.53,7.97,20.83,15.0,3.53,1,6 contact attempts,57.86,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.,25
C-32492,Calder Central,4,30-44,English,Resident with family,2024-01-16,Active,0,1183.48,2,2,10,6,11337.24,1889.54,2128.53,1705.32,141.18421413175068,1,2330,1.5965964781829858,1.798534829485923,0.07471882793259242,0.16666666666666666,0.507931330472103,0,1920.92,1705.32,-215.60000000000014,-0.11223788601295219,5,6,320.2000000000003,-218.8800000000001,56.75,9.94,7.99,20.83,15.0,2.99,0,,56.75,No strong administrative-activity warning detected.,26
C-33393,Calder Central,1,18-29,English,Resident with family,2023-04-08,Active,0,629.71,2,4,8,6,6137.110000000001,1022.8516666666668,1101.55,895.21,76.69552722725533,2,1240,1.6243217777495462,1.749297295580505,0.07498206213731412,0.3333333333333333,0.5078306451612904,0,1037.38,1024.55,-12.830000000000155,-0.012367695540689191,5,6,88.42999999999995,-199.56999999999994,56.73,10.41,7.49,20.83,15.0,3.0,0,,56.73,No strong administrative-activity warning detected.,27
C-32431,Calder Central,2,30-44,English,No fixed abode,2024-06-03,Active,0,900.41,1,2,23,6,8306.16,1384.36,1544.55,1253.03,117.346392360396,2,1670,1.5374773714196865,1.7153852134027832,0.08476580684243694,0.3333333333333333,0.5391676646706587,0,1321.04,1390.04,69.0,0.05223157512263066,3,6,249.45000000000005,-291.52,47.0,8.96,7.15,12.5,15.0,3.39,0,,47.0,No strong administrative-activity warning detected.,28
C-31485,Northgate,2,30-44,English,Owner-occupier,2021-06-04,Active,0,865.63,1,4,13,6,7909.219999999999,1318.2033333333331,1429.75,1213.74,90.95260692617157,1,1670,1.5228253795886617,1.6516872104709865,0.06899740322775565,0.16666666666666666,0.5183413173652694,0,1429.75,1425.5,-4.25,-0.002972547648190243,3,6,147.25,-216.01,45.49,8.71,6.52,12.5,15.0,2.76,0,,45.49,No strong administrative-activity warning detected.,29
C-33360,Ash Hill,4,75+,English,Resident with family,2024-11-25,Active,0,1343.97,2,2,2,6,11896.07,1982.6783333333333,2163.76,1760.31,146.7923866440855,0,2330,1.475240022718761,1.6099764131639844,0.07403741906902978,0.0,0.5768111587982833,0,2043.47,2067.84,24.37000000000012,0.011925792891503237,3,6,300.7800000000002,-283.1600000000001,44.48,7.92,6.1,12.5,15.0,2.96,0,,44.48,No strong administrative-activity warning detected.,30
C-32340,Ash Hill,1,18-29,English,Resident with family,2023-03-15,Active,0,721.77,1,2,7,6,6005.63,1000.9383333333334,1152.18,925.89,90.23281740401691,0,1240,1.3867829548655852,1.596325699322499,0.09014822831644664,0.0,0.5820725806451613,0,935.54,925.89,-9.649999999999977,-0.010314898347478438,1,6,224.85000000000002,-103.47000000000003,35.18,6.45,5.96,4.17,15.0,3.61,0,,35.18,No strong administrative-activity warning detected.,31
C-32322,Northgate,1,60-74,Other,Resident with family,2022-08-23,Active,0,758.4,4,7,19,6,6172.12,1028.6866666666667,1157.63,909.86,111.97970685203046,2,1240,1.35639064697609,1.5264108649789032,0.10885696342783074,0.3333333333333333,0.6116129032258064,0,1094.33,1132.06,37.73000000000002,0.03447771695923535,1,6,239.86000000000013,-197.16000000000008,34.72,5.94,5.26,4.17,15.0,4.35,1,4 payment adjustments and 7 contact attempts,34.72,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.,32
C-31431,Calder Central,1,45-59,English,Owner-occupier,2022-03-21,Active,0,760.27,2,0,11,6,6174.84,1029.14,1131.7,902.69,84.4283227359161,1,1240,1.353650676733266,1.4885501203519804,0.08203774290758895,0.16666666666666666,0.6131209677419355,0,958.73,1073.89,115.16000000000008,0.12011723843000645,0,6,129.49,-229.01,29.06,5.89,4.89,0.0,15.0,3.28,0,,29.06,No strong administrative-activity warning detected.,33
C-32404,Northgate,1,60-74,English,Private tenancy,2024-11-28,Active,0,765.8,4,0,3,6,6102.26,1017.0433333333334,1141.75,918.45,86.20381747154046,0,1240,1.328079568207539,1.4909245233742492,0.08475923753318323,0.0,0.6175806451612903,0,918.45,1076.65,158.20000000000005,0.1722467200174207,0,6,152.38,-65.09999999999991,28.77,5.47,4.91,0.0,15.0,3.39,1,4 payment adjustments,28.77,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.,34
C-32133,Northgate,3,75+,Other,Social tenancy,2023-01-23,Active,0,1208.96,2,6,15,8,9193.42,1149.1775,1244.7,910.63,147.54778564926008,4,2000,0.9505504731339333,1.029562599258867,0.12839425210575398,0.5,0.60448,1,1233.73,1209.64,-24.089999999999918,-0.019526152399633564,2,6,1222.0900000000001,-1211.1200000000001,28.76,0.0,0.3,8.33,15.0,5.14,1,6 contact attempts,28.76,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.,35
C-33980,Weybridge,3,60-74,Spanish,Private tenancy,2021-01-29,Active,0,1086.29,5,6,0,10,11073.67,1107.367,1131.69,1030.15,33.03672200916892,4,2000,1.0194027377587938,1.0417936278525992,0.029833580022855043,0.4,0.543145,1,1066.74,1030.15,-36.58999999999992,-0.03430076682228089,4,4,1175.4999999999998,-1220.0499999999997,28.6,0.32,0.42,16.67,10.0,1.19,1,5 payment adjustments and 6 contact attempts,28.6,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.,36
C-33495,Northgate,2,45-59,English,Private tenancy,2023-04-24,Active,0,960.7,2,4,21,6,8161.73,1360.2883333333332,1433.97,1293.19,52.70559986060933,0,1670,1.4159345616043855,1.492630373685854,0.038745903033260844,0.0,0.5752694610778444,0,1353.99,1433.97,79.98000000000002,0.059069860190991086,0,6,140.77999999999997,-65.97000000000003,28.41,6.93,4.93,0.0,15.0,1.55,0,,28.41,No strong administrative-activity warning detected.,37
C-33209,Northgate,1,45-59,Spanish,Private tenancy,2022-03-06,Active,0,641.36,2,7,2,9,5757.33,639.7033333333334,673.96,619.22,19.031463422448603,1,1240,0.9974169473202777,1.0508294873394037,0.029750452171759725,0.1111111111111111,0.5172258064516129,1,627.52,666.53,39.00999999999999,0.06216534931157571,3,5,646.8800000000001,-609.95,26.7,0.0,0.51,12.5,12.5,1.19,1,7 contact attempts,26.7,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.,38
C-33024,Northgate,1,75+,Spanish,Resident with family,2024-11-07,Active,0,448.21,1,6,18,8,3473.48,434.185,470.29,311.8,53.13780817029299,1,1240,0.9687088641485019,1.0492626224314496,0.1223851772177597,0.125,0.3614596774193548,1,456.52,454.83,-1.6899999999999977,-0.003701918864452812,2,5,628.78,-532.6400000000001,26.22,0.0,0.49,8.33,12.5,4.9,1,6 contact attempts,26.22,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.,39
C-32252,Ash Hill,3,18-29,Spanish,Resident with family,2023-10-12,Active,0,857.1,1,8,18,8,6829.7,853.7125,890.3,635.18,88.55096914045768,4,2000,0.9960477190526192,1.0387352700968382,0.10372457840368705,0.5,0.42855,1,884.54,869.5,-15.039999999999964,-0.017003188097768292,2,5,895.8999999999999,-1140.0,25.37,0.0,0.39,8.33,12.5,4.15,1,8 contact attempts,25.37,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.,40
C-32175,Calder Central,2,30-44,English,Resident with family,2021-10-25,Active,0,618.18,1,4,10,8,4808.49,601.06125,634.09,498.69,44.239662049051496,3,1670,0.9723078229641853,1.0257368404024718,0.0736025855086341,0.375,0.37016766467065865,1,621.87,498.69,-123.18,-0.19807998456268996,2,5,622.63,-618.5,24.03,0.0,0.26,8.33,12.5,2.94,0,,24.03,No strong administrative-activity warning detected.,41
C-33122,Weybridge,2,30-44,English,No fixed abode,2022-02-14,Suspended,0,974.06,1,3,6,8,7940.5599999999995,992.5699999999999,1022.78,950.19,27.422422525058874,1,1670,1.0190029361640967,1.0500174527236517,0.027627696308632013,0.125,0.5832694610778443,1,1008.14,984.68,-23.460000000000036,-0.0232705774991569,2,5,1037.42,-1095.37,22.76,0.32,0.5,8.33,12.5,1.11,0,,22.76,No strong administrative-activity warning detected.,42
C-30720,Ash Hill,2,30-44,English,No fixed abode,2024-11-22,Active,0,698.32,2,4,10,7,4637.67,662.5242857142857,730.48,535.06,88.67701653700787,1,1670,0.9487402418866504,1.0460533852674991,0.1338471939053566,0.14285714285714285,0.41815568862275454,1,728.42,730.48,2.060000000000059,0.0028280387688422327,1,5,386.17999999999984,-370.05999999999995,22.48,0.0,0.46,4.17,12.5,5.35,0,,22.48,No strong administrative-activity warning detected.,43
C-34157,Calder Central,2,18-29,English,Resident with family,2025-01-07,Active,0,1024.19,1,6,14,7,6974.49,996.3557142857143,1076.35,716.28,126.67266330416926,1,1670,0.9728231229417532,1.0509280504593872,0.12713598315133937,0.14285714285714285,0.6132874251497006,1,1049.42,1044.44,-4.980000000000018,-0.0047454784547655065,1,5,939.2399999999998,-969.1799999999998,22.26,0.0,0.51,4.17,12.5,5.09,1,6 contact attempts,22.26,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.,44
C-30333,Northgate,1,60-74,Spanish,Resident with family,2021-11-23,Active,0,512.13,1,7,21,8,3722.23,465.27875,522.32,387.8,56.989459034732256,4,1240,0.9085168804795658,1.0198972917032785,0.12248455153976462,0.5,0.41300806451612904,1,387.8,522.32,134.52000000000004,0.3468798349664777,2,3,319.11000000000007,-549.8599999999999,20.93,0.0,0.2,8.33,7.5,4.9,1,7 contact attempts,20.93,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.,45
C-30095,Ash Hill,4,30-44,English,Owner-occupier,2023-10-29,Active,0,1386.99,1,4,7,8,10394.89,1299.36125,1443.0,943.64,149.02125097136795,2,2330,0.9368209215639622,1.0403824108320896,0.11468808306494284,0.25,0.595274678111588,1,1443.0,1338.37,-104.63000000000011,-0.07250866250866259,2,3,1714.3600000000001,-1752.3400000000001,20.82,0.0,0.4,8.33,7.5,4.59,0,,20.82,No strong administrative-activity warning detected.,46
C-31348,Weybridge,3,60-74,English,Private tenancy,2024-04-10,Active,0,1055.38,2,5,0,8,7751.639999999999,968.9549999999999,1069.07,759.22,112.02564604334388,3,2000,0.9181100646212736,1.0129716310712726,0.11561491095390797,0.375,0.5276900000000001,1,759.22,828.21,68.99000000000001,0.09086957667079372,2,3,1241.22,-1002.7399999999998,20.59,0.0,0.13,8.33,7.5,4.62,0,,20.59,No strong administrative-activity warning detected.,47
C-32799,Calder Central,4,30-44,English,No fixed abode,2025-04-22,Active,0,821.5,3,6,18,8,6233.64,779.205,864.85,611.25,104.97269563353808,2,2330,0.9485149117468047,1.0527693244065734,0.13471768742954432,0.25,0.35257510729613734,1,810.25,821.41,11.159999999999968,0.01377352668929339,1,4,877.49,-822.89,20.08,0.0,0.53,4.17,10.0,5.39,1,6 contact attempts,20.08,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.,48
C-32190,Northgate,3,30-44,English,No fixed abode,2021-06-11,Active,0,896.56,3,6,4,7,6029.71,861.3871428571429,943.93,638.43,104.22781533965008,2,2000,0.9607690983951358,1.0528352815204782,0.12099996639598763,0.2857142857142857,0.44827999999999996,1,865.82,940.3,74.4799999999999,0.08602249890277414,1,4,787.17,-820.9699999999999,19.54,0.0,0.53,4.17,10.0,4.84,1,6 contact attempts,19.54,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.,49
C-30834,Calder Central,2,60-74,English,No fixed abode,2021-07-11,Active,0,592.28,0,3,11,6,3433.83,572.305,623.2,392.95,88.47347461245096,0,1670,0.9662743972445464,1.0522050381576282,0.15459147589563427,0.0,0.35465868263473055,0,605.69,392.95,-212.74000000000007,-0.3512357806798858,0,5,24.040000000000077,-230.25000000000006,19.21,0.0,0.52,0.0,12.5,6.18,0,,19.21,No strong administrative-activity warning detected.,50
C-31624,Calder Central,3,75+,English,Resident with family,2023-10-25,Suspended,0,889.24,3,3,20,7,6133.05,876.15,938.98,663.42,96.04102630299893,0,2000,0.9852795645719941,1.0559354055148216,0.10961710472293436,0.0,0.44462,1,894.61,879.53,-15.080000000000041,-0.016856507304859145,1,4,889.49,-1159.58,19.11,0.0,0.56,4.17,10.0,4.38,0,,19.11,No strong administrative-activity warning detected.,51
C-32035,Ash Hill,5,18-29,English,Social tenancy,2022-12-20,Active,0,1139.01,3,5,19,7,8187.77,1169.6814285714286,1206.84,1093.48,40.01264026470115,5,2660,1.026928146874416,1.0595517159638632,0.034208152140681534,0.7142857142857143,0.42819924812030075,1,1179.96,1141.8,-38.16000000000008,-0.032340079324722944,1,5,1152.66,-1217.7,19.08,0.45,0.6,4.17,12.5,1.37,0,,19.08,No strong administrative-activity warning detected.,52
C-30263,Weybridge,3,30-44,English,Resident with family,2022-10-09,Active,0,1093.94,4,2,5,7,7905.32,1129.3314285714284,1159.37,1060.19,34.19633334563395,2,2000,1.032352257501717,1.0598113242042524,0.030280157339543205,0.2857142857142857,0.5469700000000001,1,1129.83,1112.18,-17.649999999999864,-0.015621819211739699,1,5,1135.0900000000001,-1234.27,19.02,0.54,0.6,4.17,12.5,1.21,1,4 payment adjustments,19.02,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.,53
C-33941,Weybridge,5,60-74,English,Social tenancy,2023-12-23,Active,0,1404.46,0,3,20,7,10158.02,1451.1457142857143,1483.57,1370.27,42.67784353234627,0,2660,1.0332410423121443,1.0563276989020691,0.02940975748486653,0.0,0.5279924812030076,1,1425.46,1480.51,55.049999999999955,0.03861911242686568,1,5,1476.2100000000003,-1589.5100000000002,18.96,0.55,0.56,4.17,12.5,1.18,0,,18.96,No strong administrative-activity warning detected.,54
C-33630,Calder Central,1,45-59,English,No fixed abode,2025-08-03,Suspended,0,461.87,2,1,10,8,3580.2400000000002,447.53000000000003,475.05,382.33,29.382784075032795,2,1240,0.9689523025959687,1.0285361681858531,0.06565545119887559,0.25,0.37247580645161293,1,475.05,447.29,-27.75999999999999,-0.058435954110093655,2,3,463.89000000000004,-432.85,18.74,0.0,0.29,8.33,7.5,2.63,0,,18.74,No strong administrative-activity warning detected.,55
C-32819,Weybridge,3,60-74,English,Social tenancy,2024-07-15,Active,0,1029.25,1,3,9,7,7220.650000000001,1031.5214285714287,1078.14,989.41,36.80935951112235,2,2000,1.002206877407266,1.0475006072382804,0.035684532081994895,0.2857142857142857,0.514625,1,1005.91,1078.14,72.23000000000013,0.07180562873418113,1,5,972.91,-923.6499999999999,18.61,0.04,0.48,4.17,12.5,1.43,0,,18.61,No strong administrative-activity warning detected.,56
C-31898,Weybridge,1,60-74,English,Owner-occupier,2021-12-27,Active,0,521.74,1,1,23,6,3008.1800000000003,501.3633333333334,543.9,357.97,70.7081060888118,3,1240,0.9609447873142435,1.0424732625445623,0.1410316658354456,0.5,0.420758064516129,0,357.97,534.22,176.25,0.49235969494650383,0,5,185.92999999999995,-18.539999999999964,18.57,0.0,0.42,0.0,12.5,5.64,0,,18.57,No strong administrative-activity warning detected.,57
