case_id,risk_score,final_risk_score,payment_adjustments,contact_attempts,administrative_activity_flag,administrative_context,investigator_context
C-33447,17.98,17.98,1,1,0,,No strong administrative-activity warning detected.
C-30714,17.97,17.97,1,3,0,,No strong administrative-activity warning detected.
C-30987,17.94,17.94,0,2,0,,No strong administrative-activity warning detected.
C-31684,17.83,17.83,1,3,0,,No strong administrative-activity warning detected.
C-32883,17.7,17.7,1,1,0,,No strong administrative-activity warning detected.
C-32735,17.69,17.69,5,4,1,5 payment adjustments,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-30663,17.62,17.62,2,4,0,,No strong administrative-activity warning detected.
C-33429,17.6,17.6,0,5,0,,No strong administrative-activity warning detected.
C-30828,17.52,17.52,2,1,0,,No strong administrative-activity warning detected.
C-31697,17.4,17.4,0,3,0,,No strong administrative-activity warning detected.
C-31397,17.36,17.36,0,2,0,,No strong administrative-activity warning detected.
C-31532,17.35,17.35,1,1,0,,No strong administrative-activity warning detected.
C-32903,17.34,17.34,0,0,0,,No strong administrative-activity warning detected.
C-33065,17.33,17.33,0,1,0,,No strong administrative-activity warning detected.
C-30249,17.26,17.26,0,3,0,,No strong administrative-activity warning detected.
C-33549,17.24,17.24,3,4,0,,No strong administrative-activity warning detected.
C-33164,17.18,17.18,1,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-34114,17.08,17.08,0,1,0,,No strong administrative-activity warning detected.
C-31340,17.03,17.03,0,2,0,,No strong administrative-activity warning detected.
C-32376,17.03,17.03,1,0,0,,No strong administrative-activity warning detected.
C-33898,17.0,17.0,2,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-30169,16.99,16.99,1,4,0,,No strong administrative-activity warning detected.
C-30951,16.96,16.96,1,2,0,,No strong administrative-activity warning detected.
C-32002,16.96,16.96,2,3,0,,No strong administrative-activity warning detected.
C-33049,16.93,16.93,0,3,0,,No strong administrative-activity warning detected.
C-33154,16.91,16.91,0,3,0,,No strong administrative-activity warning detected.
C-30825,16.91,16.91,1,2,0,,No strong administrative-activity warning detected.
C-33905,16.91,16.91,1,0,0,,No strong administrative-activity warning detected.
C-33919,16.91,16.91,1,2,0,,No strong administrative-activity warning detected.
C-32547,16.87,16.87,0,5,0,,No strong administrative-activity warning detected.
C-33514,16.86,16.86,0,3,0,,No strong administrative-activity warning detected.
C-31666,16.86,16.86,1,0,0,,No strong administrative-activity warning detected.
C-32927,16.83,16.83,2,1,0,,No strong administrative-activity warning detected.
C-32420,16.82,16.82,2,1,0,,No strong administrative-activity warning detected.
C-30941,16.82,16.82,0,4,0,,No strong administrative-activity warning detected.
C-31182,16.81,16.81,2,7,1,7 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-31980,16.81,16.81,3,3,0,,No strong administrative-activity warning detected.
C-32302,16.79,16.79,2,2,0,,No strong administrative-activity warning detected.
C-33837,16.79,16.79,0,3,0,,No strong administrative-activity warning detected.
C-33621,16.79,16.79,0,0,0,,No strong administrative-activity warning detected.
C-32165,16.79,16.79,1,1,0,,No strong administrative-activity warning detected.
C-33617,16.79,16.79,0,2,0,,No strong administrative-activity warning detected.
C-30091,16.78,16.78,1,2,0,,No strong administrative-activity warning detected.
C-33434,16.78,16.78,0,1,0,,No strong administrative-activity warning detected.
C-32606,16.76,16.76,1,5,0,,No strong administrative-activity warning detected.
C-32974,16.74,16.74,0,2,0,,No strong administrative-activity warning detected.
C-34062,16.72,16.72,0,3,0,,No strong administrative-activity warning detected.
C-32416,16.71,16.71,0,0,0,,No strong administrative-activity warning detected.
C-32129,16.69,16.69,0,0,0,,No strong administrative-activity warning detected.
C-32896,16.69,16.69,1,2,0,,No strong administrative-activity warning detected.
C-31914,16.69,16.69,0,1,0,,No strong administrative-activity warning detected.
C-30168,16.69,16.69,1,2,0,,No strong administrative-activity warning detected.
C-32388,16.69,16.69,1,1,0,,No strong administrative-activity warning detected.
C-30235,16.64,16.64,2,1,0,,No strong administrative-activity warning detected.
C-32876,16.64,16.64,2,4,0,,No strong administrative-activity warning detected.
C-31613,16.63,16.63,0,1,0,,No strong administrative-activity warning detected.
C-32846,16.61,16.61,0,2,0,,No strong administrative-activity warning detected.
C-32088,16.61,16.61,0,4,0,,No strong administrative-activity warning detected.
C-30975,16.58,16.58,0,1,0,,No strong administrative-activity warning detected.
C-30117,16.56,16.56,2,3,0,,No strong administrative-activity warning detected.
C-30670,16.55,16.55,1,1,0,,No strong administrative-activity warning detected.
C-33948,16.54,16.54,1,3,0,,No strong administrative-activity warning detected.
C-33566,16.53,16.53,1,2,0,,No strong administrative-activity warning detected.
C-30083,16.51,16.51,1,4,0,,No strong administrative-activity warning detected.
C-30157,16.49,16.49,2,4,0,,No strong administrative-activity warning detected.
C-30388,16.49,16.49,0,0,0,,No strong administrative-activity warning detected.
C-31620,16.44,16.44,0,3,0,,No strong administrative-activity warning detected.
C-32324,16.44,16.44,3,3,0,,No strong administrative-activity warning detected.
C-34170,16.43,16.43,2,4,0,,No strong administrative-activity warning detected.
C-31593,16.4,16.4,2,0,0,,No strong administrative-activity warning detected.
C-33535,16.36,16.36,1,1,0,,No strong administrative-activity warning detected.
C-31043,16.34,16.34,1,0,0,,No strong administrative-activity warning detected.
C-30476,16.33,16.33,1,1,0,,No strong administrative-activity warning detected.
C-31201,16.32,16.32,1,3,0,,No strong administrative-activity warning detected.
C-30363,16.32,16.32,1,2,0,,No strong administrative-activity warning detected.
C-31791,16.31,16.31,3,9,1,9 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-32882,16.3,16.3,1,1,0,,No strong administrative-activity warning detected.
C-33805,16.27,16.27,1,1,0,,No strong administrative-activity warning detected.
C-30895,16.26,16.26,2,4,0,,No strong administrative-activity warning detected.
C-32338,16.25,16.25,0,0,0,,No strong administrative-activity warning detected.
C-30067,16.23,16.23,1,2,0,,No strong administrative-activity warning detected.
C-33926,16.23,16.23,3,2,0,,No strong administrative-activity warning detected.
C-32743,16.23,16.23,1,2,0,,No strong administrative-activity warning detected.
C-30298,16.22,16.22,1,3,0,,No strong administrative-activity warning detected.
C-31232,16.21,16.21,1,2,0,,No strong administrative-activity warning detected.
C-31305,16.2,16.2,0,2,0,,No strong administrative-activity warning detected.
C-31366,16.2,16.2,0,2,0,,No strong administrative-activity warning detected.
C-31970,16.19,16.19,2,3,0,,No strong administrative-activity warning detected.
C-31897,16.16,16.16,1,5,0,,No strong administrative-activity warning detected.
C-31752,16.15,16.15,1,0,0,,No strong administrative-activity warning detected.
C-30059,16.14,16.14,2,3,0,,No strong administrative-activity warning detected.
C-32244,16.13,16.13,1,0,0,,No strong administrative-activity warning detected.
C-30475,16.11,16.11,0,2,0,,No strong administrative-activity warning detected.
C-31797,16.09,16.09,0,2,0,,No strong administrative-activity warning detected.
C-33931,16.08,16.08,0,1,0,,No strong administrative-activity warning detected.
C-32878,16.07,16.07,0,1,0,,No strong administrative-activity warning detected.
C-31601,16.03,16.03,2,1,0,,No strong administrative-activity warning detected.
C-33225,16.01,16.01,3,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-30938,16.01,16.01,1,1,0,,No strong administrative-activity warning detected.
C-32685,16.0,16.0,1,5,0,,No strong administrative-activity warning detected.
C-30433,16.0,16.0,3,7,1,7 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-33534,15.99,15.99,0,3,0,,No strong administrative-activity warning detected.
C-31996,15.94,15.94,3,0,0,,No strong administrative-activity warning detected.
C-30731,15.94,15.94,0,1,0,,No strong administrative-activity warning detected.
C-32430,15.91,15.91,0,1,0,,No strong administrative-activity warning detected.
C-31837,15.9,15.9,0,4,0,,No strong administrative-activity warning detected.
C-31592,15.9,15.9,0,3,0,,No strong administrative-activity warning detected.
C-31993,15.88,15.88,1,3,0,,No strong administrative-activity warning detected.
C-33385,15.85,15.85,0,2,0,,No strong administrative-activity warning detected.
C-32016,15.85,15.85,2,3,0,,No strong administrative-activity warning detected.
C-32689,15.82,15.82,3,0,0,,No strong administrative-activity warning detected.
C-30346,15.81,15.81,1,2,0,,No strong administrative-activity warning detected.
C-32809,15.81,15.81,0,0,0,,No strong administrative-activity warning detected.
C-31278,15.8,15.8,3,5,0,,No strong administrative-activity warning detected.
C-33568,15.77,15.77,1,3,0,,No strong administrative-activity warning detected.
C-34028,15.76,15.76,1,3,0,,No strong administrative-activity warning detected.
C-31082,15.74,15.74,0,2,0,,No strong administrative-activity warning detected.
C-31017,15.72,15.72,0,3,0,,No strong administrative-activity warning detected.
C-31582,15.72,15.72,3,0,0,,No strong administrative-activity warning detected.
C-33856,15.69,15.69,1,3,0,,No strong administrative-activity warning detected.
C-32833,15.67,15.67,0,2,0,,No strong administrative-activity warning detected.
C-31012,15.66,15.66,1,5,0,,No strong administrative-activity warning detected.
C-31503,15.65,15.65,1,5,0,,No strong administrative-activity warning detected.
C-30618,15.62,15.62,1,0,0,,No strong administrative-activity warning detected.
C-32940,15.62,15.62,0,4,0,,No strong administrative-activity warning detected.
C-32319,15.61,15.61,1,4,0,,No strong administrative-activity warning detected.
C-33858,15.6,15.6,1,0,0,,No strong administrative-activity warning detected.
C-32221,15.6,15.6,0,4,0,,No strong administrative-activity warning detected.
C-33433,15.58,15.58,0,1,0,,No strong administrative-activity warning detected.
C-33218,15.56,15.56,1,0,0,,No strong administrative-activity warning detected.
C-30290,15.54,15.54,2,3,0,,No strong administrative-activity warning detected.
C-31402,15.51,15.51,0,0,0,,No strong administrative-activity warning detected.
C-31783,15.46,15.46,1,4,0,,No strong administrative-activity warning detected.
C-30325,15.46,15.46,0,0,0,,No strong administrative-activity warning detected.
C-32558,15.43,15.43,0,1,0,,No strong administrative-activity warning detected.
C-30130,15.42,15.42,1,2,0,,No strong administrative-activity warning detected.
C-33264,15.42,15.42,1,3,0,,No strong administrative-activity warning detected.
C-32023,15.42,15.42,0,1,0,,No strong administrative-activity warning detected.
C-33251,15.41,15.41,0,3,0,,No strong administrative-activity warning detected.
C-31571,15.4,15.4,0,1,0,,No strong administrative-activity warning detected.
C-33373,15.37,15.37,0,1,0,,No strong administrative-activity warning detected.
C-33169,15.35,15.35,0,2,0,,No strong administrative-activity warning detected.
C-33527,15.35,15.35,1,1,0,,No strong administrative-activity warning detected.
C-32574,15.35,15.35,0,3,0,,No strong administrative-activity warning detected.
C-31976,15.35,15.35,2,3,0,,No strong administrative-activity warning detected.
C-33942,15.34,15.34,2,4,0,,No strong administrative-activity warning detected.
C-30499,15.34,15.34,1,3,0,,No strong administrative-activity warning detected.
C-32712,15.32,15.32,0,2,0,,No strong administrative-activity warning detected.
C-33375,15.32,15.32,1,1,0,,No strong administrative-activity warning detected.
C-33268,15.31,15.31,0,2,0,,No strong administrative-activity warning detected.
C-32375,15.31,15.31,1,3,0,,No strong administrative-activity warning detected.
C-34141,15.29,15.29,3,4,0,,No strong administrative-activity warning detected.
C-32751,15.29,15.29,0,0,0,,No strong administrative-activity warning detected.
C-31359,15.29,15.29,1,4,0,,No strong administrative-activity warning detected.
C-33276,15.29,15.29,2,0,0,,No strong administrative-activity warning detected.
C-32525,15.28,15.28,2,3,0,,No strong administrative-activity warning detected.
C-33364,15.27,15.27,4,3,1,4 payment adjustments,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-33032,15.24,15.24,1,0,0,,No strong administrative-activity warning detected.
C-30075,15.24,15.24,1,2,0,,No strong administrative-activity warning detected.
C-30508,15.24,15.24,0,3,0,,No strong administrative-activity warning detected.
C-34075,15.21,15.21,0,1,0,,No strong administrative-activity warning detected.
C-33777,15.2,15.2,1,2,0,,No strong administrative-activity warning detected.
C-32192,15.2,15.2,1,1,0,,No strong administrative-activity warning detected.
C-30031,15.18,15.18,1,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-30439,15.18,15.18,0,1,0,,No strong administrative-activity warning detected.
C-31729,15.18,15.18,2,3,0,,No strong administrative-activity warning detected.
C-30946,15.17,15.17,3,0,0,,No strong administrative-activity warning detected.
C-32000,15.17,15.17,0,2,0,,No strong administrative-activity warning detected.
C-31286,15.16,15.16,2,5,0,,No strong administrative-activity warning detected.
C-32982,15.14,15.14,2,3,0,,No strong administrative-activity warning detected.
C-32745,15.14,15.14,2,2,0,,No strong administrative-activity warning detected.
C-32181,15.11,15.11,1,2,0,,No strong administrative-activity warning detected.
C-33488,15.1,15.1,0,0,0,,No strong administrative-activity warning detected.
C-30986,15.1,15.1,2,5,0,,No strong administrative-activity warning detected.
C-33442,15.09,15.09,2,0,0,,No strong administrative-activity warning detected.
C-30043,15.08,15.08,3,2,0,,No strong administrative-activity warning detected.
C-30712,15.08,15.08,3,3,0,,No strong administrative-activity warning detected.
C-32672,15.08,15.08,1,3,0,,No strong administrative-activity warning detected.
C-31445,15.08,15.08,2,3,0,,No strong administrative-activity warning detected.
C-30274,15.07,15.07,0,2,0,,No strong administrative-activity warning detected.
C-30810,15.07,15.07,1,2,0,,No strong administrative-activity warning detected.
C-30743,15.06,15.06,1,2,0,,No strong administrative-activity warning detected.
C-32513,15.05,15.05,0,1,0,,No strong administrative-activity warning detected.
C-31606,15.04,15.04,0,1,0,,No strong administrative-activity warning detected.
C-33859,15.02,15.02,2,0,0,,No strong administrative-activity warning detected.
C-32749,15.01,15.01,0,1,0,,No strong administrative-activity warning detected.
C-31146,14.99,14.99,2,1,0,,No strong administrative-activity warning detected.
C-31983,14.99,14.99,0,2,0,,No strong administrative-activity warning detected.
C-30469,14.98,14.98,0,2,0,,No strong administrative-activity warning detected.
C-32855,14.98,14.98,0,1,0,,No strong administrative-activity warning detected.
C-32894,14.98,14.98,0,2,0,,No strong administrative-activity warning detected.
C-32283,14.97,14.97,0,2,0,,No strong administrative-activity warning detected.
C-31320,14.96,14.96,0,2,0,,No strong administrative-activity warning detected.
C-30912,14.95,14.95,1,1,0,,No strong administrative-activity warning detected.
C-31759,14.95,14.95,0,0,0,,No strong administrative-activity warning detected.
C-30474,14.94,14.94,1,3,0,,No strong administrative-activity warning detected.
C-30971,14.93,14.93,1,0,0,,No strong administrative-activity warning detected.
C-32391,14.93,14.93,2,4,0,,No strong administrative-activity warning detected.
C-32210,14.93,14.93,0,4,0,,No strong administrative-activity warning detected.
C-31850,14.92,14.92,0,1,0,,No strong administrative-activity warning detected.
C-32887,14.91,14.91,0,1,0,,No strong administrative-activity warning detected.
C-30880,14.9,14.9,1,2,0,,No strong administrative-activity warning detected.
C-32336,14.9,14.9,1,0,0,,No strong administrative-activity warning detected.
C-30329,14.9,14.9,0,5,0,,No strong administrative-activity warning detected.
C-32692,14.9,14.9,3,7,1,7 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-32066,14.9,14.9,2,3,0,,No strong administrative-activity warning detected.
C-32752,14.88,14.88,1,5,0,,No strong administrative-activity warning detected.
C-33275,14.88,14.88,1,4,0,,No strong administrative-activity warning detected.
C-32647,14.88,14.88,0,0,0,,No strong administrative-activity warning detected.
C-32804,14.87,14.87,1,0,0,,No strong administrative-activity warning detected.
C-31934,14.87,14.87,2,2,0,,No strong administrative-activity warning detected.
C-32369,14.86,14.86,4,3,1,4 payment adjustments,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-30193,14.86,14.86,4,3,1,4 payment adjustments,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-31953,14.85,14.85,2,0,0,,No strong administrative-activity warning detected.
C-30437,14.85,14.85,0,2,0,,No strong administrative-activity warning detected.
C-31961,14.85,14.85,2,2,0,,No strong administrative-activity warning detected.
C-32163,14.85,14.85,1,2,0,,No strong administrative-activity warning detected.
C-32037,14.85,14.85,1,5,0,,No strong administrative-activity warning detected.
C-30172,14.85,14.85,2,5,0,,No strong administrative-activity warning detected.
C-32755,14.84,14.84,1,2,0,,No strong administrative-activity warning detected.
C-31424,14.83,14.83,3,1,0,,No strong administrative-activity warning detected.
C-30527,14.83,14.83,1,1,0,,No strong administrative-activity warning detected.
C-30944,14.83,14.83,2,4,0,,No strong administrative-activity warning detected.
C-30373,14.83,14.83,0,5,0,,No strong administrative-activity warning detected.
C-32948,14.83,14.83,2,1,0,,No strong administrative-activity warning detected.
C-33454,14.82,14.82,0,1,0,,No strong administrative-activity warning detected.
C-31878,14.82,14.82,1,3,0,,No strong administrative-activity warning detected.
C-32280,14.82,14.82,2,2,0,,No strong administrative-activity warning detected.
C-30567,14.82,14.82,1,4,0,,No strong administrative-activity warning detected.
C-31625,14.81,14.81,0,1,0,,No strong administrative-activity warning detected.
C-33031,14.81,14.81,0,1,0,,No strong administrative-activity warning detected.
C-34022,14.81,14.81,0,4,0,,No strong administrative-activity warning detected.
C-30107,14.81,14.81,0,4,0,,No strong administrative-activity warning detected.
C-30854,14.81,14.81,0,1,0,,No strong administrative-activity warning detected.
C-31887,14.81,14.81,0,5,0,,No strong administrative-activity warning detected.
C-31594,14.8,14.8,0,2,0,,No strong administrative-activity warning detected.
C-33109,14.8,14.8,1,5,0,,No strong administrative-activity warning detected.
C-32744,14.8,14.8,0,1,0,,No strong administrative-activity warning detected.
C-32763,14.8,14.8,0,1,0,,No strong administrative-activity warning detected.
C-30968,14.8,14.8,0,0,0,,No strong administrative-activity warning detected.
C-33515,14.8,14.8,1,3,0,,No strong administrative-activity warning detected.
C-32389,14.79,14.79,0,1,0,,No strong administrative-activity warning detected.
C-30034,14.79,14.79,1,6,1,6 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-31385,14.77,14.77,1,1,0,,No strong administrative-activity warning detected.
C-33374,14.77,14.77,1,1,0,,No strong administrative-activity warning detected.
C-31672,14.77,14.77,0,4,0,,No strong administrative-activity warning detected.
C-31137,14.77,14.77,2,3,0,,No strong administrative-activity warning detected.
C-30058,14.77,14.77,0,5,0,,No strong administrative-activity warning detected.
C-31875,14.77,14.77,0,0,0,,No strong administrative-activity warning detected.
C-33804,14.76,14.76,2,4,0,,No strong administrative-activity warning detected.
C-32505,14.76,14.76,0,0,0,,No strong administrative-activity warning detected.
C-32231,14.76,14.76,2,2,0,,No strong administrative-activity warning detected.
C-32550,14.75,14.75,2,7,1,7 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-32076,14.75,14.75,1,2,0,,No strong administrative-activity warning detected.
C-31561,14.75,14.75,0,2,0,,No strong administrative-activity warning detected.
C-33983,14.75,14.75,1,4,0,,No strong administrative-activity warning detected.
C-32487,14.75,14.75,2,7,1,7 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-31247,14.74,14.74,0,1,0,,No strong administrative-activity warning detected.
C-34122,14.74,14.74,1,7,1,7 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-32594,14.73,14.73,0,2,0,,No strong administrative-activity warning detected.
C-31669,14.73,14.73,1,3,0,,No strong administrative-activity warning detected.
C-31842,14.72,14.72,1,0,0,,No strong administrative-activity warning detected.
C-32879,14.72,14.72,1,0,0,,No strong administrative-activity warning detected.
C-31525,14.71,14.71,0,2,0,,No strong administrative-activity warning detected.
C-34133,14.71,14.71,1,3,0,,No strong administrative-activity warning detected.
C-31894,14.7,14.7,2,2,0,,No strong administrative-activity warning detected.
C-31626,14.7,14.7,1,0,0,,No strong administrative-activity warning detected.
C-31605,14.7,14.7,0,3,0,,No strong administrative-activity warning detected.
C-33124,14.7,14.7,2,2,0,,No strong administrative-activity warning detected.
C-30077,14.7,14.7,2,2,0,,No strong administrative-activity warning detected.
C-31309,14.69,14.69,1,1,0,,No strong administrative-activity warning detected.
C-32176,14.69,14.69,2,0,0,,No strong administrative-activity warning detected.
C-30531,14.69,14.69,0,1,0,,No strong administrative-activity warning detected.
C-33917,14.69,14.69,0,0,0,,No strong administrative-activity warning detected.
C-32540,14.69,14.69,1,4,0,,No strong administrative-activity warning detected.
C-32586,14.68,14.68,1,5,0,,No strong administrative-activity warning detected.
C-32094,14.68,14.68,0,1,0,,No strong administrative-activity warning detected.
C-30683,14.68,14.68,0,2,0,,No strong administrative-activity warning detected.
C-33768,14.67,14.67,2,5,0,,No strong administrative-activity warning detected.
C-30045,14.67,14.67,0,3,0,,No strong administrative-activity warning detected.
C-31821,14.66,14.66,1,3,0,,No strong administrative-activity warning detected.
C-30515,14.66,14.66,1,7,1,7 contact attempts,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-31492,14.66,14.66,1,4,0,,No strong administrative-activity warning detected.
C-31398,14.66,14.66,1,3,0,,No strong administrative-activity warning detected.
C-32834,14.65,14.65,2,1,0,,No strong administrative-activity warning detected.
C-32779,14.65,14.65,0,3,0,,No strong administrative-activity warning detected.
C-32186,14.65,14.65,0,2,0,,No strong administrative-activity warning detected.
C-33053,14.65,14.65,1,2,0,,No strong administrative-activity warning detected.
C-33550,14.65,14.65,0,1,0,,No strong administrative-activity warning detected.
C-30693,14.64,14.64,0,1,0,,No strong administrative-activity warning detected.
C-33532,14.64,14.64,0,0,0,,No strong administrative-activity warning detected.
C-31064,14.64,14.64,0,1,0,,No strong administrative-activity warning detected.
C-33819,14.63,14.63,0,0,0,,No strong administrative-activity warning detected.
C-31007,14.63,14.63,0,2,0,,No strong administrative-activity warning detected.
C-31255,14.62,14.62,1,4,0,,No strong administrative-activity warning detected.
C-32790,14.62,14.62,0,1,0,,No strong administrative-activity warning detected.
C-33422,14.62,14.62,1,4,0,,No strong administrative-activity warning detected.
C-33702,14.62,14.62,3,5,0,,No strong administrative-activity warning detected.
C-33872,14.61,14.61,3,4,0,,No strong administrative-activity warning detected.
C-33979,14.61,14.61,0,3,0,,No strong administrative-activity warning detected.
C-32171,14.6,14.6,1,0,0,,No strong administrative-activity warning detected.
C-33649,14.6,14.6,1,1,0,,No strong administrative-activity warning detected.
C-31966,14.59,14.59,0,2,0,,No strong administrative-activity warning detected.
C-31999,14.59,14.59,2,0,0,,No strong administrative-activity warning detected.
C-32569,14.59,14.59,1,1,0,,No strong administrative-activity warning detected.
C-31139,14.59,14.59,1,2,0,,No strong administrative-activity warning detected.
C-34074,14.59,14.59,4,3,1,4 payment adjustments,Administrative activity may have a legitimate explanation and should not be treated as evidence of improper payment.
C-33313,14.58,14.58,3,2,0,,No strong administrative-activity warning detected.
